Cancer,Feature,Display,Category,Method,Source,Canonical,N_Low,N_High,Median_Low,Median_High,Effect,P,FDR,Significance,P_label,FDR_label
BLCA,Cytotoxic_lymphocytes_MCPcounter,Cytotoxic Lymphocytes,TME cell type,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),CYTOTOXICLYMPHOCYTES,212,219,1.16641428571429,1.86741428571429,0.701,0.000453786132294701,0.00393281314655407,***,P=4.54e-04,FDR=0.00393
BLCA,NKT_xCell,NKt,TME cell type,xCell,IOBR::deconvo_tme(method='xcell'),NKT,212,219,5.24884837581553e-22,7.30274721051498e-23,-4.51857365476403e-22,0.00147715720616001,0.0109731678171886,**,P=0.00148,FDR=0.011
BLCA,Macrophages_xCell,Macrophages,TME cell type,xCell,IOBR::deconvo_tme(method='xcell'),MACROPHAGES,212,219,0,5.50884039750686e-24,5.50884039750686e-24,0.0074613872837297,0.0477013219149355,**,P=0.00746,FDR=0.0477
BLCA,Neutrophils_quantiseq,Neutrophils,TME cell type,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),NEUTROPHILS,212,219,0.0314234799034047,0.0389575147355468,0.00753403483214201,0.00845041077874771,0.0477013219149355,**,P=0.00845,FDR=0.0477
BLCA,CD8_T_cells_MCPcounter,CD8 t Cells,TME cell type,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),CD8TCELLS,212,219,0.57805,0.9541,0.37605,0.00917333113748759,0.0477013219149355,**,P=0.00917,FDR=0.0477
BLCA,Myeloid_dendritic_cells_MCPcounter,Myeloid Dendritic Cells,TME cell type,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),MYELOIDDENDRITICCELLS,212,219,5.8616,4.66863333333333,-1.19296666666667,0.0217129011337035,0.0992677998500159,*,P=0.0217,FDR=0.0993
BLCA,Macrophages_M1_quantiseq,Macrophages M1,TME cell type,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),MACROPHAGESM1,212,219,0.00991490717425507,0.016597499542455,0.00668259236819994,0.0229079538115421,0.0992677998500159,*,P=0.0229,FDR=0.0993
BLCA,Mast_cells_xCell,Mast Cells,TME cell type,xCell,IOBR::deconvo_tme(method='xcell'),MASTCELLS,212,219,4.60133400026673e-25,6.17666645352678e-24,5.71653305350011e-24,0.0361757631649826,0.14470305265993,*,P=0.0362,FDR=0.145
BLCA,T_cells_CD4_quantiseq,t Cells CD4,TME cell type,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),TCELLSCD4,212,219,0,0,0,0.0398149090027888,0.147883947724644,*,P=0.0398,FDR=0.148
BLCA,T_cells_CD8_quantiseq,t Cells CD8,TME cell type,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),TCELLSCD8,212,219,0.00191458394207123,0.00288173203533787,0.000967148093266638,0.0494664178812052,0.171483581988178,*,P=0.0495,FDR=0.171
BLCA,CD4_Tcells_EPIC,CD4 Tcells,TME cell type,EPIC,IOBR::deconvo_tme(method='epic'),CD4TCELLS,212,219,0.0466387450882336,0.0527362242587142,0.00609747917048067,0.0613862523522035,0.199505320144662,ns,P=0.0614,FDR=0.2
BLCA,CD4+_Tem_xCell,CD4+ Tem,TME cell type,xCell,IOBR::deconvo_tme(method='xcell'),CD4TEM,212,219,1.49994004830474e-06,1.26472858145266e-06,-2.35211466852079e-07,0.0985057842240658,0.301311810567731,ns,P=0.0985,FDR=0.301
BLCA,CD8_Tcells_EPIC,CD8 Tcells,TME cell type,EPIC,IOBR::deconvo_tme(method='epic'),CD8TCELLS,212,219,0.0182981954539253,0.0162925524419013,-0.00200564301202396,0.119366845823111,0.333779433675106,ns,P=0.119,FDR=0.334
BLCA,NKcells_EPIC,NKcells,TME cell type,EPIC,IOBR::deconvo_tme(method='epic'),NKCELLS,212,219,1.71901481388398e-07,5.77330128123213e-08,-1.14168468576076e-07,0.121957869996673,0.333779433675106,ns,P=0.122,FDR=0.334
BLCA,CD4+_T-cells_xCell,CD4+ t-Cells,TME cell type,xCell,IOBR::deconvo_tme(method='xcell'),CD4TCELLS,212,219,1.61033810598549e-23,2.9390685386089e-24,-1.3164312521246e-23,0.138606344934693,0.34338275414931,ns,P=0.139,FDR=0.343
BLCA,DC_xCell,Dc,TME cell type,xCell,IOBR::deconvo_tme(method='xcell'),DC,212,219,0,0,0,0.138673804560298,0.34338275414931,ns,P=0.139,FDR=0.343
BLCA,iDC_xCell,Idc,TME cell type,xCell,IOBR::deconvo_tme(method='xcell'),IDC,212,219,0,0,0,0.149817971845132,0.354115206179402,ns,P=0.15,FDR=0.354
BLCA,Basophils_xCell,Basophils,TME cell type,xCell,IOBR::deconvo_tme(method='xcell'),BASOPHILS,212,219,2.64324473963212e-06,3.04441394685245e-06,4.01169207220326e-07,0.205021160110226,0.463526101118771,ns,P=0.205,FDR=0.464
BLCA,T_cells_MCPcounter,t Cells,TME cell type,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),TCELLS,212,219,6.37708666666667,5.55129333333333,-0.825793333333333,0.214863415182318,0.465537399561689,ns,P=0.215,FDR=0.466
BLCA,CD8+_Tcm_xCell,CD8+ Tcm,TME cell type,xCell,IOBR::deconvo_tme(method='xcell'),CD8TCM,212,219,0,5.44707608092819e-24,5.44707608092819e-24,0.24143235853834,0.494523600828312,ns,P=0.241,FDR=0.495
