Cancer,Feature,N_Low,N_High,Median_Low,Median_High,Effect,P,FDR,Direction,Category,Row,EffectPlot,SigLabel
LGG,Epigenetic alterations,257,257,-0.419488209633975,0.351220736303506,0.770708945937481,7.4995355847631e-20,1.79988854034314e-19,Higher in High,Genome maintenance,10,0.770708945937481,***
LIHC,Epigenetic alterations,185,186,-0.308793896809378,0.321080323838581,0.62987422064796,4.68865428216418e-06,1.1252770277194e-05,Higher in High,Genome maintenance,10,0.62987422064796,***
LUAD,Epigenetic alterations,258,258,-0.254298984394613,0.252095115710906,0.50639410010552,1.01136692306031e-08,3.03410076918093e-08,Higher in High,Genome maintenance,10,0.50639410010552,***
LUSC,Epigenetic alterations,250,251,-0.111155843422192,0.177740968150078,0.288896811572269,0.00162281151336463,0.00278196259433937,Higher in High,Genome maintenance,10,0.288896811572269,**
MESO,Epigenetic alterations,43,44,-0.2565223363607,0.0927622963054968,0.349284632666197,0.13904940452539,0.166859285430468,Higher in High,Genome maintenance,10,0.349284632666197,""
OV,Epigenetic alterations,189,189,0.0789818769870231,-0.103317999523929,-0.182299876510952,0.0754849381058993,0.0823472052064356,Lower in High,Genome maintenance,10,-0.182299876510952,""
PAAD,Epigenetic alterations,89,89,-0.241629266301367,0.325831218107823,0.56746048440919,0.00416265222149354,0.00999036533158449,Higher in High,Genome maintenance,10,0.56746048440919,**
PCPG,Epigenetic alterations,89,90,-0.107645338754271,0.16096611891587,0.268611457670141,0.205853384804875,0.411706769609751,Higher in High,Genome maintenance,10,0.268611457670141,""
PRAD,Epigenetic alterations,248,249,-0.168123726415885,0.143408979042472,0.311532705458357,0.000989233647624176,0.00197846729524835,Higher in High,Genome maintenance,10,0.311532705458357,**
READ,Epigenetic alterations,83,83,-0.3495050891815,0.255275581287001,0.604780670468502,0.0165572875358255,0.0496718626074766,Higher in High,Genome maintenance,10,0.604780670468502,*
SARC,Epigenetic alterations,129,130,-0.283386699494991,0.270499152006639,0.55388585150163,1.9029472079507e-05,4.31795063094747e-05,Higher in High,Genome maintenance,10,0.55388585150163,***
