Cancer	Feature	P	FDR	Significance	P_label	FDR_label
LIHC	Loss of proteostasis	0.888732141901834	0.888732141901834	ns	P = 0.889	P = 0.889
LIHC	Disabled macroautophagy	5.41346827703096e-05	0.000108269365540619	***	P < 0.001	P < 0.001
LIHC	Deregulated nutrient sensing	0.0745881767476204	0.0994509023301605	ns	P = 0.0746	P = 0.0995
LIHC	Mitochondrial dysfunction	3.46814027916332e-32	4.16176833499599e-31	****	P < 0.001	P < 0.001
LIHC	Cellular senescence	2.19530234152968e-19	8.78120936611873e-19	****	P < 0.001	P < 0.001
LIHC	Stem cell exhaustion	0.0367124078392131	0.0629355562957939	ns	P = 0.0367	P = 0.0629
LIHC	Altered intercellular communication	0.0445811433416488	0.0668717150124732	ns	P = 0.0446	P = 0.0669
LIHC	Chronic inflammation	0.649409852509476	0.708447111828519	ns	P = 0.649	P = 0.708
LIHC	Extracellular matrix changes	0.298623024188568	0.358347629026282	ns	P = 0.299	P = 0.358
LUAD	Genomic instability	2.13813672844791e-28	2.56576407413749e-27	****	P < 0.001	P < 0.001
LUAD	Telomere attrition	5.19119596161124e-19	3.11471757696674e-18	****	P < 0.001	P < 0.001
LUAD	Epigenetic alterations	1.01136692306031e-08	3.03410076918093e-08	****	P < 0.001	P < 0.001
LUAD	Loss of proteostasis	0.000441717474743737	0.000757229956703549	***	P < 0.001	P < 0.001
LUAD	Disabled macroautophagy	0.000157861885788156	0.000378868525891575	***	P < 0.001	P < 0.001
LUAD	Deregulated nutrient sensing	0.00652475285914094	0.00978712928871141	**	P = 0.00652	P = 0.00979
LUAD	Mitochondrial dysfunction	0.00040043178683266	0.000757229956703549	***	P < 0.001	P < 0.001
LUAD	Cellular senescence	8.2439681185108e-12	3.29758724740432e-11	****	P < 0.001	P < 0.001
LUAD	Stem cell exhaustion	0.603515563517685	0.643606037464861	ns	P = 0.604	P = 0.644
LUAD	Altered intercellular communication	0.643606037464861	0.643606037464861	ns	P = 0.644	P = 0.644
LUAD	Chronic inflammation	0.0259405776340726	0.0345874368454301	*	P = 0.0259	P = 0.0346
LUAD	Extracellular matrix changes	0.108558747196508	0.13027049663581	ns	P = 0.109	P = 0.13
LUSC	Genomic instability	2.07036506825787e-28	2.48443808190944e-27	****	P < 0.001	P < 0.001
LUSC	Telomere attrition	5.94547454035845e-19	1.78364236210754e-18	****	P < 0.001	P < 0.001
LUSC	Epigenetic alterations	0.00162281151336463	0.00278196259433937	**	P = 0.00162	P = 0.00278
LUSC	Loss of proteostasis	0.71505256416491	0.71505256416491	ns	P = 0.715	P = 0.715
LUSC	Disabled macroautophagy	0.230316205850547	0.251254042746051	ns	P = 0.23	P = 0.251
LUSC	Deregulated nutrient sensing	7.17769999710994e-07	1.43553999942199e-06	****	P < 0.001	P < 0.001
LUSC	Mitochondrial dysfunction	0.193973001391819	0.232767601670182	ns	P = 0.194	P = 0.233
LUSC	Cellular senescence	0.0517590221510453	0.077638533226568	ns	P = 0.0518	P = 0.0776
LUSC	Stem cell exhaustion	0.0885331049808788	0.118044139974505	ns	P = 0.0885	P = 0.118
LUSC	Altered intercellular communication	2.69097408736904e-23	1.07638963494762e-22	****	P < 0.001	P < 0.001
LUSC	Chronic inflammation	3.08130774725328e-24	1.84878464835197e-23	****	P < 0.001	P < 0.001
LUSC	Extracellular matrix changes	4.37315706759574e-14	1.04955769622298e-13	****	P < 0.001	P < 0.001
MESO	Genomic instability	5.7638266724012e-07	6.91659200688144e-06	****	P < 0.001	P < 0.001
MESO	Telomere attrition	0.000379241686303305	0.00151696674521322	**	P < 0.001	P = 0.00152
MESO	Epigenetic alterations	0.13904940452539	0.166859285430468	ns	P = 0.139	P = 0.167
MESO	Loss of proteostasis	0.0752250507127531	0.100300067617004	ns	P = 0.0752	P = 0.1
MESO	Disabled macroautophagy	0.0067772379802531	0.0116181222518625	*	P = 0.00678	P = 0.0116
MESO	Deregulated nutrient sensing	0.00404115534496654	0.00808231068993309	**	P = 0.00404	P = 0.00808
MESO	Mitochondrial dysfunction	6.52574281020807e-05	0.000391544568612484	***	P < 0.001	P < 0.001
MESO	Cellular senescence	0.00116153708621441	0.00348461125864323	**	P = 0.00116	P = 0.00348
MESO	Stem cell exhaustion	0.00279029765766766	0.00669671437840238	**	P = 0.00279	P = 0.0067
MESO	Altered intercellular communication	0.46984029961562	0.512553054126131	ns	P = 0.47	P = 0.513
MESO	Chronic inflammation	0.796703392894481	0.796703392894481	ns	P = 0.797	P = 0.797
MESO	Extracellular matrix changes	0.0119071415530498	0.0178607123295747	*	P = 0.0119	P = 0.0179
OV	Genomic instability	5.07641112085882e-11	2.50040765647623e-10	****	P < 0.001	P < 0.001
OV	Telomere attrition	0.000577353532856723	0.00115470706571345	**	P < 0.001	P = 0.00115
OV	Epigenetic alterations	0.0754849381058993	0.0823472052064356	ns	P = 0.0755	P = 0.0823
OV	Loss of proteostasis	0.0593251118903491	0.0711901342684189	ns	P = 0.0593	P = 0.0712
OV	Disabled macroautophagy	6.25101914119058e-11	2.50040765647623e-10	****	P < 0.001	P < 0.001
OV	Deregulated nutrient sensing	2.15644948785845e-08	6.46934846357536e-08	****	P < 0.001	P < 0.001
OV	Mitochondrial dysfunction	3.63005601739009e-18	4.35606722086811e-17	****	P < 0.001	P < 0.001
OV	Cellular senescence	0.000839550191156937	0.00143922889912618	**	P < 0.001	P = 0.00144
OV	Stem cell exhaustion	5.81729114977745e-05	0.000139614987594659	***	P < 0.001	P < 0.001
OV	Altered intercellular communication	0.0153379088972885	0.0230068633459328	*	P = 0.0153	P = 0.023
OV	Chronic inflammation	0.573433115796497	0.573433115796497	ns	P = 0.573	P = 0.573
OV	Extracellular matrix changes	0.0343876632294892	0.045850217639319	*	P = 0.0344	P = 0.0459
PAAD	Genomic instability	2.6225418324472e-06	3.14705019893665e-05	****	P < 0.001	P < 0.001
PAAD	Telomere attrition	0.000723555328935214	0.00217066598680564	**	P < 0.001	P = 0.00217
PAAD	Epigenetic alterations	0.00416265222149354	0.00999036533158449	**	P = 0.00416	P = 0.00999
PAAD	Loss of proteostasis	0.134070958302692	0.21471788073127	ns	P = 0.134	P = 0.215
PAAD	Disabled macroautophagy	0.143377277974063	0.21471788073127	ns	P = 0.143	P = 0.215
PAAD	Deregulated nutrient sensing	0.795697652268783	0.795697652268783	ns	P = 0.796	P = 0.796
