Cancer	Feature	P	FDR	Significance	P_label	FDR_label
PAAD	DNA damage checkpoint	1.77223017741131e-10	7.97503579835089e-10	****	P < 0.001	P < 0.001
PAAD	FA	2.69707180692412e-07	4.85472925246341e-07	****	P < 0.001	P < 0.001
PAAD	HR	6.90355329445195e-08	1.55329949125169e-07	****	P < 0.001	P < 0.001
PAAD	MMR	4.41768423943739e-11	3.97591581549365e-10	****	P < 0.001	P < 0.001
PAAD	NER	0.00291925201404881	0.00328415851580492	**	P = 0.00292	P = 0.00328
PAAD	NHEJ	7.58917865585152e-07	1.13837679837773e-06	****	P < 0.001	P < 0.001
PAAD	Replication stress	7.33207935087154e-05	9.42695916540626e-05	****	P < 0.001	P < 0.001
PAAD	TLS	6.21156067488912e-10	1.86346820246674e-09	****	P < 0.001	P < 0.001
PCPG	BER	0.296990442311233	0.296990442311233	ns	P = 0.297	P = 0.297
PCPG	DNA damage checkpoint	6.36956712320187e-10	1.91087013696056e-09	****	P < 0.001	P < 0.001
PCPG	FA	2.39795932034049e-07	4.31632677661288e-07	****	P < 0.001	P < 0.001
PCPG	HR	1.3399712632069e-06	1.72282019555173e-06	****	P < 0.001	P < 0.001
PCPG	MMR	2.06432239511809e-14	9.2894507780314e-14	****	P < 0.001	P < 0.001
PCPG	NER	1.30591590672022e-07	2.9383107901205e-07	****	P < 0.001	P < 0.001
PCPG	NHEJ	6.92146292442244e-07	1.03821943866337e-06	****	P < 0.001	P < 0.001
PCPG	Replication stress	2.29916025991791e-05	2.58655529240765e-05	****	P < 0.001	P < 0.001
PCPG	TLS	2.25595824100272e-15	2.03036241690245e-14	****	P < 0.001	P < 0.001
PRAD	BER	0.636971075561423	0.636971075561423	ns	P = 0.637	P = 0.637
PRAD	DNA damage checkpoint	9.51952784035236e-32	4.28378752815856e-31	****	P < 0.001	P < 0.001
PRAD	FA	5.89860779399981e-18	8.84791169099971e-18	****	P < 0.001	P < 0.001
PRAD	HR	1.31164925835663e-20	2.36096866504193e-20	****	P < 0.001	P < 0.001
PRAD	MMR	2.72278368472757e-31	8.16835105418272e-31	****	P < 0.001	P < 0.001
PRAD	NER	2.28346497916841e-12	2.9358835446451e-12	****	P < 0.001	P < 0.001
PRAD	NHEJ	7.12715334991492e-24	1.60360950373086e-23	****	P < 0.001	P < 0.001
PRAD	Replication stress	9.30267007532819e-07	1.04655038347442e-06	****	P < 0.001	P < 0.001
PRAD	TLS	3.87460936226312e-40	3.48714842603681e-39	****	P < 0.001	P < 0.001
READ	BER	0.0158417087136703	0.0158417087136703	*	P = 0.0158	P = 0.0158
READ	DNA damage checkpoint	2.52025159562935e-15	2.26822643606641e-14	****	P < 0.001	P < 0.001
READ	FA	1.68996762681899e-11	3.80242716034273e-11	****	P < 0.001	P < 0.001
READ	HR	7.16426498236213e-13	2.14927949470864e-12	****	P < 0.001	P < 0.001
READ	MMR	1.99390816871328e-14	8.97258675920977e-14	****	P < 0.001	P < 0.001
READ	NER	5.19357406741849e-05	7.79036110112774e-05	****	P < 0.001	P < 0.001
READ	NHEJ	8.03371545823235e-05	0.00010329062732013	***	P < 0.001	P < 0.001
READ	Replication stress	0.000184075413268877	0.000207084839927487	***	P < 0.001	P < 0.001
READ	TLS	1.54660259307699e-09	2.78388466753858e-09	****	P < 0.001	P < 0.001
SARC	BER	7.31372749484037e-07	7.31372749484037e-07	****	P < 0.001	P < 0.001
SARC	DNA damage checkpoint	1.08697755800806e-24	2.44569950551815e-24	****	P < 0.001	P < 0.001
SARC	FA	4.10056182094157e-26	1.23016854628247e-25	****	P < 0.001	P < 0.001
SARC	HR	1.43029515718325e-24	2.57453128292984e-24	****	P < 0.001	P < 0.001
SARC	MMR	1.48940762854401e-26	6.70233432844805e-26	****	P < 0.001	P < 0.001
SARC	NER	5.41943201504637e-09	6.09686101692717e-09	****	P < 0.001	P < 0.001
SARC	NHEJ	5.37056707952495e-14	6.90501481653208e-14	****	P < 0.001	P < 0.001
SARC	Replication stress	3.59948852821362e-16	5.39923279232042e-16	****	P < 0.001	P < 0.001
SARC	TLS	2.74959163811502e-27	2.47463247430352e-26	****	P < 0.001	P < 0.001
SKCM	BER	0.000107629025011793	0.000107629025011793	***	P < 0.001	P < 0.001
SKCM	DNA damage checkpoint	3.29503521216821e-45	2.96553169095139e-44	****	P < 0.001	P < 0.001
SKCM	FA	3.00474041557724e-35	4.50711062336586e-35	****	P < 0.001	P < 0.001
SKCM	HR	1.11836483875956e-37	2.51632088720901e-37	****	P < 0.001	P < 0.001
SKCM	MMR	6.82937173562773e-38	2.04881152068832e-37	****	P < 0.001	P < 0.001
SKCM	NER	1.9566899864834e-15	2.20127623479382e-15	****	P < 0.001	P < 0.001
SKCM	NHEJ	9.10909421707401e-37	1.63963695907332e-36	****	P < 0.001	P < 0.001
SKCM	Replication stress	1.23187337723417e-16	1.58383719930107e-16	****	P < 0.001	P < 0.001
SKCM	TLS	2.21957561872989e-38	9.98809028428449e-38	****	P < 0.001	P < 0.001
STAD	BER	1.19924597347042e-10	1.19924597347042e-10	****	P < 0.001	P < 0.001
STAD	DNA damage checkpoint	2.389512878746e-37	2.1505615908714e-36	****	P < 0.001	P < 0.001
STAD	FA	7.44883881711002e-27	2.23465164513301e-26	****	P < 0.001	P < 0.001
STAD	HR	1.77819132184221e-24	4.00093047414498e-24	****	P < 0.001	P < 0.001
STAD	MMR	6.86319121834148e-30	3.08843604825366e-29	****	P < 0.001	P < 0.001
STAD	NER	1.99184975463438e-13	2.24083097396368e-13	****	P < 0.001	P < 0.001
STAD	NHEJ	3.32424888125437e-17	4.27403427589848e-17	****	P < 0.001	P < 0.001
STAD	Replication stress	1.00676757613158e-23	1.81218163703684e-23	****	P < 0.001	P < 0.001
STAD	TLS	6.21643677909961e-19	9.32465516864941e-19	****	P < 0.001	P < 0.001
TGCT	BER	7.21092983069264e-05	0.00010816394746039	***	P < 0.001	P < 0.001
TGCT	DNA damage checkpoint	2.19807493025021e-12	6.59422479075062e-12	****	P < 0.001	P < 0.001
TGCT	FA	1.71865716327231e-11	3.86697861736269e-11	****	P < 0.001	P < 0.001
TGCT	HR	1.47537357900504e-08	2.65567244220908e-08	****	P < 0.001	P < 0.001
TGCT	MMR	4.76660293267363e-13	2.14497131970313e-12	****	P < 0.001	P < 0.001
TGCT	NER	0.00504711826640443	0.00528749682720571	**	P = 0.00505	P = 0.00529
TGCT	NHEJ	0.000376892917144441	0.000484576607757138	***	P < 0.001	P < 0.001
TGCT	Replication stress	0.00528749682720571	0.00528749682720571	**	P = 0.00529	P = 0.00529
TGCT	TLS	1.86470415285566e-19	1.67823373757009e-18	****	P < 0.001	P < 0.001
THCA	BER	0.000633858158562045	0.000713090428382301	***	P < 0.001	P < 0.001
THCA	DNA damage checkpoint	6.6397762271187e-13	1.99193286813561e-12	****	P < 0.001	P < 0.001
THCA	FA	0.00105287088042329	0.00105287088042329	**	P = 0.00105	P = 0.00105
THCA	HR	1.39492559556631e-05	2.09238839334946e-05	****	P < 0.001	P < 0.001
THCA	MMR	1.66381410946759e-15	7.48716349260417e-15	****	P < 0.001	P < 0.001
THCA	NER	9.58596913532195e-08	1.72547444435795e-07	****	P < 0.001	P < 0.001
THCA	NHEJ	3.92800615743476e-08	8.83801385422822e-08	****	P < 0.001	P < 0.001
THCA	Replication stress	0.000298353418683565	0.000383597252593156	***	P < 0.001	P < 0.001
THCA	TLS	1.87011197530237e-30	1.68310077777214e-29	****	P < 0.001	P < 0.001
THYM	BER	0.00256688794352418	0.00256688794352418	**	P = 0.00257	P = 0.00257
THYM	DNA damage checkpoint	1.09051612206277e-13	4.90732254928246e-13	****	P < 0.001	P < 0.001
THYM	FA	1.6593773228759e-09	2.48906598431384e-09	****	P < 0.001	P < 0.001
THYM	HR	1.27869807549322e-09	2.3016565358878e-09	****	P < 0.001	P < 0.001
THYM	MMR	8.59073221456713e-14	4.90732254928246e-13	****	P < 0.001	P < 0.001
THYM	NER	7.06944547272684e-10	1.59062523136354e-09	****	P < 0.001	P < 0.001
THYM	NHEJ	9.86879815800529e-11	2.96063944740159e-10	****	P < 0.001	P < 0.001
THYM	Replication stress	7.11528206414817e-06	8.00469232216669e-06	****	P < 0.001	P < 0.001
THYM	TLS	7.7875960726748e-08	1.00126235220105e-07	****	P < 0.001	P < 0.001
UCEC	BER	1.00090669654324e-20	1.00090669654324e-20	****	P < 0.001	P < 0.001
UCEC	DNA damage checkpoint	7.49840778009489e-59	6.7485670020854e-58	****	P < 0.001	P < 0.001
UCEC	FA	3.61980462182272e-46	8.14456039910112e-46	****	P < 0.001	P < 0.001
UCEC	HR	2.46679805211263e-44	4.44023649380273e-44	****	P < 0.001	P < 0.001
UCEC	MMR	6.51669722038953e-55	2.93251374917529e-54	****	P < 0.001	P < 0.001
UCEC	NER	2.79226763663246e-24	3.14130109121152e-24	****	P < 0.001	P < 0.001
UCEC	NHEJ	8.15270051486885e-44	1.22290507723033e-43	****	P < 0.001	P < 0.001
UCEC	Replication stress	1.70318397160825e-29	2.18980796349632e-29	****	P < 0.001	P < 0.001
UCEC	TLS	1.52041095877272e-46	4.56123287631815e-46	****	P < 0.001	P < 0.001
UCS	BER	0.943191044485304	0.943191044485304	ns	P = 0.943	P = 0.943
UCS	DNA damage checkpoint	0.00527439377346832	0.0118673859903037	*	P = 0.00527	P = 0.0119
UCS	FA	0.00325564356260035	0.00976693068780106	**	P = 0.00326	P = 0.00977
UCS	HR	0.0560220249764041	0.0630247780984547	ns	P = 0.056	P = 0.063
UCS	MMR	0.000116607807742334	0.000524735134840503	***	P < 0.001	P < 0.001
UCS	NER	0.0154735955844359	0.0278524720519846	*	P = 0.0155	P = 0.0279
UCS	NHEJ	0.0519549933388814	0.0630247780984547	ns	P = 0.052	P = 0.063
UCS	Replication stress	0.0323455444064251	0.0485183166096377	*	P = 0.0323	P = 0.0485
UCS	TLS	1.9023345616627e-05	0.000171210110549643	***	P < 0.001	P < 0.001
UVM	BER	0.00012036534019358	0.000216657612348444	***	P < 0.001	P < 0.001
UVM	DNA damage checkpoint	0.0190450698107332	0.0214257035370749	*	P = 0.019	P = 0.0214
UVM	FA	0.00382210881957073	0.00491413991087665	**	P = 0.00382	P = 0.00491
UVM	HR	6.58946403106068e-06	1.48262940698865e-05	****	P < 0.001	P < 0.001
UVM	MMR	4.98773496305761e-07	1.49632048891728e-06	****	P < 0.001	P < 0.001
UVM	NER	0.000161806115315816	0.000242709172973723	***	P < 0.001	P < 0.001
UVM	NHEJ	2.43798502474254e-09	1.09709326113414e-08	****	P < 0.001	P < 0.001
UVM	Replication stress	0.822080223245056	0.822080223245056	ns	P = 0.822	P = 0.822
UVM	TLS	2.15734945972123e-11	1.9416145137491e-10	****	P < 0.001	P < 0.001
