Cancer,Sample,Sample_key,Feature,Value,Group,Feature_Display
ACC,TCGA-OR-A5JF-01A-11R-A29S-07,TCGA-OR-A5JF-01A,ImmuneScore,-617.78054596667,Low,ImmuneScore
ACC,TCGA-OR-A5JF-01A-11R-A29S-07,TCGA-OR-A5JF-01A,ESTIMATEScore,-1359.73533028502,Low,ESTIMATEScore
ACC,TCGA-OR-A5JF-01A-11R-A29S-07,TCGA-OR-A5JF-01A,TumorPurity,0.918947150176585,Low,TumorPurity
ACC,TCGA-OR-A5JI-01A-11R-A29S-07,TCGA-OR-A5JI-01A,StromalScore,171.791860613316,Low,StromalScore
ACC,TCGA-OR-A5JI-01A-11R-A29S-07,TCGA-OR-A5JI-01A,ImmuneScore,541.891479100651,Low,ImmuneScore
ACC,TCGA-OR-A5JI-01A-11R-A29S-07,TCGA-OR-A5JI-01A,ESTIMATEScore,713.683339713967,Low,ESTIMATEScore
ACC,TCGA-OR-A5JI-01A-11R-A29S-07,TCGA-OR-A5JI-01A,TumorPurity,0.758526350342101,Low,TumorPurity
ACC,TCGA-OR-A5LM-01A-11R-A29S-07,TCGA-OR-A5LM-01A,StromalScore,-962.045776093944,Low,StromalScore
ACC,TCGA-OR-A5LM-01A-11R-A29S-07,TCGA-OR-A5LM-01A,ImmuneScore,-247.90927460141,Low,ImmuneScore
ACC,TCGA-OR-A5LM-01A-11R-A29S-07,TCGA-OR-A5LM-01A,ESTIMATEScore,-1209.95505069535,Low,ESTIMATEScore
ACC,TCGA-OR-A5LM-01A-11R-A29S-07,TCGA-OR-A5LM-01A,TumorPurity,0.910054898221003,Low,TumorPurity
ACC,TCGA-OR-A5K3-01A-11R-A29S-07,TCGA-OR-A5K3-01A,StromalScore,-786.999834672965,Low,StromalScore
ACC,TCGA-OR-A5K3-01A-11R-A29S-07,TCGA-OR-A5K3-01A,ImmuneScore,315.373557856995,Low,ImmuneScore
ACC,TCGA-OR-A5K3-01A-11R-A29S-07,TCGA-OR-A5K3-01A,ESTIMATEScore,-471.62627681597,Low,ESTIMATEScore
ACC,TCGA-OR-A5K3-01A-11R-A29S-07,TCGA-OR-A5K3-01A,TumorPurity,0.859881955729729,Low,TumorPurity
ACC,TCGA-OR-A5KW-01A-11R-A29S-07,TCGA-OR-A5KW-01A,StromalScore,-809.463621926071,High,StromalScore
ACC,TCGA-OR-A5KW-01A-11R-A29S-07,TCGA-OR-A5KW-01A,ImmuneScore,-716.195813716266,High,ImmuneScore
ACC,TCGA-OR-A5KW-01A-11R-A29S-07,TCGA-OR-A5KW-01A,ESTIMATEScore,-1525.65943564234,High,ESTIMATEScore
ACC,TCGA-OR-A5KW-01A-11R-A29S-07,TCGA-OR-A5KW-01A,TumorPurity,0.928279084838744,High,TumorPurity
ACC,TCGA-OR-A5LL-01A-11R-A29S-07,TCGA-OR-A5LL-01A,StromalScore,-852.0367542694,High,StromalScore
ACC,TCGA-OR-A5LL-01A-11R-A29S-07,TCGA-OR-A5LL-01A,ImmuneScore,-402.024172697152,High,ImmuneScore
ACC,TCGA-OR-A5LL-01A-11R-A29S-07,TCGA-OR-A5LL-01A,ESTIMATEScore,-1254.06092696655,High,ESTIMATEScore
ACC,TCGA-OR-A5LL-01A-11R-A29S-07,TCGA-OR-A5LL-01A,TumorPurity,0.912719296106526,High,TumorPurity
