Cancer,Feature,Display,Method,Source,Canonical,Low,High,P,FDR,Z_Effect,PlotEffect,Significance,Direction,Feature_Label,Feature_Main_Label,OrderEffect
BLCA,CD4+_Tem_xCell,CD4+ Tem,xCell,IOBR::deconvo_tme(method='xcell'),CD4TEM,0.0322955069746158,-0.354715886456516,0.0985057842240658,0.301311810567731,-0.387011393431132,-0.387011393431132,"",Higher in Low,"CD4+ Tem
(xCell)",CD4+ Tem,0
BLCA,CD8_Tcells_EPIC,CD8 T cells,EPIC,IOBR::deconvo_tme(method='epic'),CD8TCELLS,0.0481075663463511,0.0058032662280034,0.119366845823111,0.333779433675106,-0.0423043001183477,-0.0423043001183477,"",Higher in Low,"CD8 T cells
(EPIC)",CD8 T cells,0
BLCA,DC_xCell,Dc,xCell,IOBR::deconvo_tme(method='xcell'),DC,-0.55354891445248,-0.55354891445248,0.138673804560298,0.34338275414931,0,0,"",Higher in High,"Dc
(xCell)",Dc,0
BLCA,iDC_xCell,Idc,xCell,IOBR::deconvo_tme(method='xcell'),IDC,-0.331899904206716,-0.331899904206716,0.149817971845132,0.354115206179402,0,0,"",Higher in High,"Idc
(xCell)",Idc,0
BLCA,Basophils_xCell,Basophils,xCell,IOBR::deconvo_tme(method='xcell'),BASOPHILS,-0.804597140163544,-0.31773948692617,0.205021160110226,0.463526101118771,0.486857653237374,0.486857653237374,"",Higher in High,"Basophils
(xCell)",Basophils,0
BLCA,T_cells_MCPcounter,T cells,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),TCELLS,-0.226800008808094,-0.249922904990396,0.214863415182318,0.465537399561689,-0.0231228961823017,-0.0231228961823017,"",Higher in Low,"T cells
(MCP-counter)",T cells,0
BLCA,CD8+_Tcm_xCell,CD8+ Tcm,xCell,IOBR::deconvo_tme(method='xcell'),CD8TCM,-0.530827838035267,-0.143638285419513,0.24143235853834,0.494523600828312,0.387189552615754,0.387189552615754,"",Higher in High,"CD8+ Tcm
(xCell)",CD8+ Tcm,0
BLCA,CD4+_Tcm_xCell,CD4+ Tcm,xCell,IOBR::deconvo_tme(method='xcell'),CD4TCM,0.283618297196866,0.112457124938091,0.247261800414156,0.494523600828312,-0.171161172258775,-0.171161172258775,"",Higher in Low,"CD4+ Tcm
(xCell)",CD4+ Tcm,0
BLCA,B_cells_quantiseq,B cells,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),BCELLS,-0.239353222487958,-0.2303374385116,0.26781050280797,0.515783190593127,0.00901578397635786,0.00901578397635786,"",Higher in High,"B cells
(quanTIseq)",B cells,0
BLCA,CD4+_naive_T-cells_xCell,CD4+ Naive t-Cells,xCell,IOBR::deconvo_tme(method='xcell'),CD4NAIVETCELLS,-0.403302981221291,-0.403302981221291,0.279077818165876,0.51828737659377,0,0,"",Higher in High,"CD4+ Naive t-Cells
(xCell)",CD4+ Naive t-Cells,0
BLCA,CAFs_EPIC,CAFs,EPIC,IOBR::deconvo_tme(method='epic'),CAFS,0.00907930569700413,-0.112985781404414,0.299434646195361,0.536917296626164,-0.122065087101418,-0.122065087101418,"",Higher in Low,"CAFs
(EPIC)",CAFs,0
BLCA,CD4+_memory_T-cells_xCell,CD4+ Memory t-Cells,xCell,IOBR::deconvo_tme(method='xcell'),CD4MEMORYTCELLS,-0.511631820460002,0.319708663791277,0.310628991703981,0.538423585620234,0.831340484251279,0.831340484251279,"",Higher in High,"CD4+ Memory t-Cells
(xCell)",CD4+ Memory t-Cells,0
BLCA,ly_Endothelial_cells_xCell,Ly Endothelial Cells,xCell,IOBR::deconvo_tme(method='xcell'),LYENDOTHELIALCELLS,-0.0210363105596561,0.0557861135187661,0.456886391137986,0.71994219209622,0.0768224240784223,0.0768224240784223,"",Higher in High,"Ly Endothelial Cells
(xCell)",Ly Endothelial Cells,0
BLCA,CD8+_Tem_xCell,CD8+ Tem,xCell,IOBR::deconvo_tme(method='xcell'),CD8TEM,-0.261897532947718,0.00933317672891361,0.539559593491019,0.78663403890411,0.271230709676631,0.271230709676631,"",Higher in High,"CD8+ Tem
(xCell)",CD8+ Tem,0
BLCA,cDC_xCell,Cdc,xCell,IOBR::deconvo_tme(method='xcell'),CDC,0.141374653130299,-0.0307618243768297,0.546810922058159,0.78663403890411,-0.172136477507129,-0.172136477507129,"",Higher in Low,"Cdc
(xCell)",Cdc,0
BLCA,pDC_xCell,Pdc,xCell,IOBR::deconvo_tme(method='xcell'),PDC,-0.074862059390257,-0.364929875207392,0.602249560035513,0.805869566124074,-0.290067815817135,-0.290067815817135,"",Higher in Low,"Pdc
(xCell)",Pdc,0
BLCA,CD8+_naive_T-cells_xCell,CD8+ Naive t-Cells,xCell,IOBR::deconvo_tme(method='xcell'),CD8NAIVETCELLS,-0.379562304137735,-0.392356321249728,0.604402174593055,0.805869566124074,-0.0127940171119922,-0.0127940171119922,"",Higher in Low,"CD8+ Naive t-Cells
(xCell)",CD8+ Naive t-Cells,0
BLCA,Dendritic_cells_quantiseq,Dendritic Cells,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),DENDRITICCELLS,-0.231198406497958,-0.266811621149404,0.649309090363384,0.837209168597173,-0.0356132146514461,-0.0356132146514461,"",Higher in Low,"Dendritic Cells
(quanTIseq)",Dendritic Cells,0
BLCA,Monocytes_quantiseq,Monocytes,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),MONOCYTES,-0.264624772172632,-0.264624772172632,0.763263608936672,0.921545936051101,0,0,"",Higher in High,"Monocytes
(quanTIseq)",Monocytes,0
BLCA,aDC_xCell,Adc,xCell,IOBR::deconvo_tme(method='xcell'),ADC,-0.385273359906838,-0.385273359906838,0.776713492836383,0.921545936051101,0,0,"",Higher in High,"Adc
(xCell)",Adc,0
BLCA,Fibroblasts_MCPcounter,Fibroblasts,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),FIBROBLASTS,-0.16768834213591,-0.16531331035729,0.779769638197085,0.921545936051101,0.00237503177861947,0.00237503177861947,"",Higher in High,"Fibroblasts
(MCP-counter)",Fibroblasts,0
