Cancer	Feature	Median_Low	Median_High	High_minus_Low_effect	FDR	Significance
PCPG	IDO1	1.88203812120373	1.85383600403792	-0.0282021171658067	0.313561561676867	""
OV	IDO1	3.55054363961969	3.18583210212667	-0.364711537493022	0.425686735487024	""
BRCA	IDO1	2.20088095428596	2.17842782624274	-0.0224531280432152	0.575769339916254	""
KICH	IDO1	1.48308715910349	1.55763065014295	0.0745434910394538	0.798894903131242	""
THCA	IDO1	1.86591881455221	1.59684859480643	-0.269070219745783	0.0643890062592231	""
HNSC	IDO1	3.47754781591381	3.41514979206152	-0.0623980238522921	0.89732280476105	""
LUAD	IDO1	4.16622473541283	4.05900910004046	-0.107215635372364	0.860705207004061	""
READ	IDO1	2.06664032387551	2.58344687508544	0.516806551209937	0.0469284605627082	*
THYM	IDO1	3.20466464041168	3.35444460580749	0.149779965395803	0.969361947711651	""
LAML	IDO1	0.0382956981815445	0.0434844976035795	0.00518879942203494	0.850433981508937	""
ACC	IDO1	1.9175081369573	2.05129938317426	0.133791246216954	0.527606159106661	""
ESCA	IDO1	2.64956947601855	2.72035180730325	0.0707823312846991	0.802576407224485	""
TGCT	IDO1	3.35029921652709	3.24517617789189	-0.105123038635202	0.951948373452191	""
CESC	IDO1	4.89584062298755	4.8645448598085	-0.0312957631790543	0.810086064288765	""
MESO	IDO1	2.32785978754229	1.94229062661203	-0.385569160930263	0.976295384034329	""
SKCM	IDO1	2.7507102671364	2.28217288914767	-0.468537377988729	0.160082172805356	""
DLBC	IDO1	4.84322941326545	5.00834965938226	0.165120246116805	0.917720609960093	""
CHOL	IDO1	0.944852964080878	0.668663777700221	-0.276189186380657	0.970864656647835	""
UCS	IDO1	3.48313806225297	3.23803780863012	-0.245100253622849	0.993631985161221	""
GBM	IDO1	0.797262054758046	0.508833472612776	-0.288428582145271	0.0362123079333214	*
SARC	IDO1	3.5387070706502	2.990101694129	-0.548605376521198	0.0564882797153634	""
LUSC	IDO1	4.47419683452516	3.92334888053201	-0.550847953993149	0.000114852027009517	***
PRAD	CD47	5.82003833522787	6.24387849415448	0.423840158926613	2.65126424235982e-19	****
LIHC	CD47	3.57736808381003	4.14696100504609	0.569592921236063	1.78531059331502e-13	****
LGG	CD47	5.60536098625719	5.83701477575267	0.231653789495476	3.66713578653469e-07	****
KIRC	CD47	4.89775322993817	5.38902294538724	0.491269715449074	9.97286375172742e-30	****
UVM	CD47	3.78753722098254	4.97423414857773	1.18669692759519	1.52227686893549e-10	****
STAD	CD47	5.12262809057849	5.58729256693196	0.464664476353478	5.13653187228926e-09	****
COAD	CD47	5.30046657574943	5.81896301148344	0.518496435734016	2.6005162800495e-18	****
PAAD	CD47	5.52947428334663	5.8763457073268	0.346871423980168	8.9404513753718e-08	****
BLCA	CD47	5.17855049226852	5.68101909140382	0.502468599135297	4.68044550024224e-08	****
UCEC	CD47	5.02480495683594	5.98590339962482	0.961098442788879	9.24890070404748e-25	****
KIRP	CD47	4.252120416504	4.95209311981202	0.699972703308017	2.95311078713608e-18	****
PCPG	CD47	4.7340219391945	5.36523059929754	0.63120866010304	5.79330044132263e-08	****
OV	CD47	6.78090322506338	6.89240725529105	0.111504030227671	0.242424900178272	""
BRCA	CD47	5.54603939044348	5.89900882131019	0.352969430866708	5.6486809209398e-18	****
KICH	CD47	4.06444842973743	4.97446506890793	0.910016639170497	6.29514984271131e-06	****
THCA	CD47	6.0366505848586	6.57823478363415	0.541584198775554	1.51905623285353e-22	****
HNSC	CD47	5.97464402604025	6.08704251389949	0.112398487859242	0.0829822784121297	""
LUAD	CD47	6.52240461822098	6.79591237342043	0.273507755199446	0.00204584109017746	**
READ	CD47	5.26529435985997	5.68727349256494	0.421979132704971	5.50874250463815e-07	****
THYM	CD47	5.57865076358679	6.11509219741813	0.536441433831343	0.000136299425864763	***
LAML	CD47	6.43942533516152	6.96511471881182	0.525689383650301	5.36993146709378e-08	****
ACC	CD47	4.22801055497391	5.20436384719875	0.976353292224841	2.80969851648306e-06	****
ESCA	CD47	5.53509493123989	5.75126102651529	0.216166095275399	0.725537718136614	""
TGCT	CD47	4.7840013601022	5.49603085711879	0.712029497016584	0.00978894990976005	**
CESC	CD47	5.976872247306	6.22590394858981	0.249031701283808	0.013685621865389	*
MESO	CD47	6.14802094908894	6.35987625626068	0.211855307171748	0.656167606342657	""
SKCM	CD47	5.29834308873432	5.69555681961619	0.397213730881867	1.55452538050736e-10	****
DLBC	CD47	5.50263420163522	6.01629280116692	0.513658599531703	0.0382657017116288	*
CHOL	CD47	4.77577516778903	5.83285711021841	1.05708194242938	0.432134921846155	""
UCS	CD47	5.243986831394	5.37236710295583	0.128380271561826	0.926599507093341	""
GBM	CD47	5.8846760607854	5.83986694930583	-0.0448091114795668	0.398763288798636	""
SARC	CD47	5.47482635592877	5.95984896352069	0.485022607591921	4.75897436921922e-08	****
LUSC	CD47	5.93008939541247	5.74922585193648	-0.180863543475997	0.0353259584428238	*
PRAD	CTLA4	0.969121431181385	1.29242839288672	0.323306961705333	0.000131772991543462	***
LIHC	CTLA4	0.547685037817499	0.978223524691222	0.430538486873723	1.49591642173392e-06	****
LGG	CTLA4	0.314986485468515	0.444773065522451	0.129786580053936	0.000487369746604608	***
KIRC	CTLA4	1.09244396970768	1.40588347292226	0.313439503214578	0.00913449961289692	**
UVM	CTLA4	0	0.0930805710476435	0.0930805710476435	0.00193521562735044	**
STAD	CTLA4	1.78640680425149	2.43798470021841	0.651577895966924	2.88397935264614e-05	****
COAD	CTLA4	1.61004298509201	1.89994898618967	0.289906001097666	0.0042933247462396	**
PAAD	CTLA4	1.91349262775008	2.15939158360576	0.245898955855677	0.0881769796689727	""
BLCA	CTLA4	1.64096137504959	1.78458773637889	0.143626361329296	0.131983972951248	""
UCEC	CTLA4	1.3968992624564	1.22305178836844	-0.173847474087958	0.197250552383755	""
KIRP	CTLA4	0.493852247694877	0.540214512054107	0.0463622643592297	0.550067127196971	""
PCPG	CTLA4	0.249502570547516	0.295017665151298	0.0455150946037819	0.54485513554986	""
OV	CTLA4	0.796265488952206	0.923862777091381	0.127597288139175	0.319103617212477	""
BRCA	CTLA4	1.49789334127367	1.61060557999446	0.112712238720785	0.574237513325297	""
KICH	CTLA4	0.113327172807585	0.311851831187058	0.198524658379473	0.0271056795541229	*
THCA	CTLA4	1.27685394524617	0.923422132942315	-0.353431812303852	0.135314716935524	""
HNSC	CTLA4	2.37439963676144	2.57831804358654	0.203918406825096	0.104571690273056	""
LUAD	CTLA4	2.49523215280289	2.62398388298598	0.128751730183093	0.151081177168213	""
READ	CTLA4	1.45159358141516	1.82891586857751	0.377322287162355	0.0140596675219353	*
THYM	CTLA4	1.64864946024618	1.15122211510336	-0.497427345142815	0.00965865033551396	**
LAML	CTLA4	1.20595546711974	1.22928027905873	0.0233248119389897	0.914668011665911	""
ACC	CTLA4	0.233765376808338	0.102384921293872	-0.131380455514467	0.350894555458214	""
ESCA	CTLA4	1.95158779481475	2.16697978160584	0.215391986791087	0.802576407224485	""
TGCT	CTLA4	3.0103680928321	3.0721401091103	0.0617720162781996	0.951948373452191	""
CESC	CTLA4	2.53900988006208	2.24342503246163	-0.29558484760045	0.112623684689287	""
MESO	CTLA4	1.49947599961551	1.71850271530467	0.219026715689161	0.976295384034329	""
SKCM	CTLA4	2.38391156624834	2.47069303472262	0.0867814684742836	0.508489244041518	""
DLBC	CTLA4	4.10094204309722	4.15297982112208	0.0520377780248627	0.975325780556376	""
CHOL	CTLA4	0.824142739590842	0.935987696436856	0.111844956846014	0.939628144702672	""
UCS	CTLA4	0.748522671694189	0.909734708553117	0.161212036858927	0.993631985161221	""
GBM	CTLA4	0.771885578515366	0.596452933291559	-0.175432645223807	0.180702777692122	""
SARC	CTLA4	1.30113360110109	1.02488699931318	-0.276246601787906	0.181776480712915	""
LUSC	CTLA4	2.39761256918805	2.08749678661665	-0.310115782571399	0.00523021718783497	**
PRAD	HAVCR2	2.28024138198914	2.53635135799548	0.256109976006339	9.82182071718885e-08	****
LIHC	HAVCR2	1.94020768463935	2.51656749419699	0.576359809557637	8.19877586654731e-08	****
LGG	HAVCR2	4.31780330960886	4.88853382986239	0.570730520253526	3.87102538052139e-05	****
KIRC	HAVCR2	5.67256786937706	5.96834193426638	0.295774064889323	0.0156764125869546	*
UVM	HAVCR2	1.30608659145544	1.95297922457676	0.646892633121324	0.000382103622828544	***
STAD	HAVCR2	3.12605599776399	3.6687132578276	0.542657260063608	0.000198706829023863	***
COAD	HAVCR2	2.89736628341726	3.04493612112532	0.147569837708055	0.0138314495277424	*
PAAD	HAVCR2	4.14923497347014	4.4495697386287	0.300334765158556	0.0803407921560551	""
BLCA	HAVCR2	2.71245433097498	3.10490691490418	0.392452583929206	0.108238047831606	""
UCEC	HAVCR2	2.75915582372754	2.90332755161124	0.144171727883693	0.102744116216509	""
KIRP	HAVCR2	5.60430858952597	4.79580483289019	-0.808503756635775	0.00402287629173023	**
PCPG	HAVCR2	1.86272206678994	2.24786676711035	0.385144700320417	0.043658038819354	*
OV	HAVCR2	3.44550159570351	3.63490216658827	0.189400570884763	0.120732654118921	""
BRCA	HAVCR2	4.20871233194788	4.26665163303296	0.0579393010850771	0.0614001373550336	""
KICH	HAVCR2	2.44075000968614	3.02757872747428	0.586828717788146	0.114018186660655	""
THCA	HAVCR2	2.92470800832887	2.94395715547071	0.019249147141835	0.943780429455811	""
HNSC	HAVCR2	3.14296884206542	3.52005054226203	0.377081700196615	0.0088523109492421	**
LUAD	HAVCR2	4.61251736352128	4.76370900670297	0.151191643181698	0.166134846308296	""
READ	HAVCR2	2.59843667127352	2.8074991843487	0.209062513075176	0.132711809754699	""
THYM	HAVCR2	4.00054143417609	3.7778871323479	-0.222654301828189	0.162448664180025	""
LAML	HAVCR2	4.47673162505276	4.80493638177069	0.328204756717931	0.655035948549184	""
ACC	HAVCR2	2.39728273134515	2.28493390446176	-0.112348826883387	0.902445565137312	""
ESCA	HAVCR2	2.73647499444562	3.0591834706396	0.32270847619398	0.725537718136614	""
TGCT	HAVCR2	3.8744035393784	3.72439925151544	-0.150004287862952	0.578123943033316	""
CESC	HAVCR2	3.64200835725712	3.37712843728077	-0.264879919976357	0.112623684689287	""
MESO	HAVCR2	4.57709644115307	4.73704078303284	0.159944341879767	0.976295384034329	""
SKCM	HAVCR2	3.7278615940664	3.61586353873158	-0.111998055334821	0.322506687614581	""
DLBC	HAVCR2	5.47698742462083	6.02132015270773	0.544332728086904	0.303381954392482	""
CHOL	HAVCR2	3.38950067014557	3.31276680912166	-0.0767338610239063	0.939628144702672	""
UCS	HAVCR2	2.78791986103704	2.94035471153329	0.152434850496251	0.993631985161221	""
GBM	HAVCR2	5.9968022416849	5.5062369848668	-0.490565256818091	0.00035047955727715	***
SARC	HAVCR2	4.57771791668142	3.67178022821116	-0.905937688470259	6.98916112765733e-05	****
