Cancer,Sample,Sample_key,Feature,Value,Group,Feature_Display
THCA,TCGA-DJ-A1QH-01A-21R-A14Y-07,TCGA-DJ-A1QH-01A,ESTIMATEScore,376.61964134299,High,ESTIMATEScore
THCA,TCGA-DJ-A1QH-01A-21R-A14Y-07,TCGA-DJ-A1QH-01A,TumorPurity,0.789826295387627,High,TumorPurity
THCA,TCGA-EL-A3CT-01A-12R-A206-07,TCGA-EL-A3CT-01A,StromalScore,468.114763977247,Low,StromalScore
THCA,TCGA-EL-A3CT-01A-12R-A206-07,TCGA-EL-A3CT-01A,ImmuneScore,794.371620197663,Low,ImmuneScore
THCA,TCGA-EL-A3CT-01A-12R-A206-07,TCGA-EL-A3CT-01A,ESTIMATEScore,1262.48638417491,Low,ESTIMATEScore
THCA,TCGA-EL-A3CT-01A-12R-A206-07,TCGA-EL-A3CT-01A,TumorPurity,0.703628228562888,Low,TumorPurity
THCA,TCGA-DJ-A3UT-01A-11R-A22L-07,TCGA-DJ-A3UT-01A,StromalScore,-655.081734721157,Low,StromalScore
THCA,TCGA-DJ-A3UT-01A-11R-A22L-07,TCGA-DJ-A3UT-01A,ImmuneScore,-596.882084020955,Low,ImmuneScore
THCA,TCGA-DJ-A3UT-01A-11R-A22L-07,TCGA-DJ-A3UT-01A,ESTIMATEScore,-1251.96381874211,Low,ESTIMATEScore
THCA,TCGA-DJ-A3UT-01A-11R-A22L-07,TCGA-DJ-A3UT-01A,TumorPurity,0.912593476996841,Low,TumorPurity
THCA,TCGA-EL-A3TA-01A-12R-A22L-07,TCGA-EL-A3TA-01A,StromalScore,289.692274141761,Low,StromalScore
THCA,TCGA-EL-A3TA-01A-12R-A22L-07,TCGA-EL-A3TA-01A,ImmuneScore,1142.95362035964,Low,ImmuneScore
THCA,TCGA-EL-A3TA-01A-12R-A22L-07,TCGA-EL-A3TA-01A,ESTIMATEScore,1432.6458945014,Low,ESTIMATEScore
THCA,TCGA-EL-A3TA-01A-12R-A22L-07,TCGA-EL-A3TA-01A,TumorPurity,0.685662419343787,Low,TumorPurity
THCA,TCGA-DJ-A2Q6-01A-11R-A18C-07,TCGA-DJ-A2Q6-01A,StromalScore,509.095307506889,High,StromalScore
THCA,TCGA-DJ-A2Q6-01A-11R-A18C-07,TCGA-DJ-A2Q6-01A,ImmuneScore,431.640997932935,High,ImmuneScore
THCA,TCGA-DJ-A2Q6-01A-11R-A18C-07,TCGA-DJ-A2Q6-01A,ESTIMATEScore,940.736305439824,High,ESTIMATEScore
THCA,TCGA-DJ-A2Q6-01A-11R-A18C-07,TCGA-DJ-A2Q6-01A,TumorPurity,0.736390702429452,High,TumorPurity
THCA,TCGA-ET-A3DU-01A-11R-A19O-07,TCGA-ET-A3DU-01A,StromalScore,445.394763709316,Low,StromalScore
THCA,TCGA-ET-A3DU-01A-11R-A19O-07,TCGA-ET-A3DU-01A,ImmuneScore,2310.59305898845,Low,ImmuneScore
THCA,TCGA-ET-A3DU-01A-11R-A19O-07,TCGA-ET-A3DU-01A,ESTIMATEScore,2755.98782269776,Low,ESTIMATEScore
THCA,TCGA-ET-A3DU-01A-11R-A19O-07,TCGA-ET-A3DU-01A,TumorPurity,0.532255080080945,Low,TumorPurity
THCA,TCGA-EM-A2OX-01A-11R-A206-07,TCGA-EM-A2OX-01A,StromalScore,90.9622517831225,Low,StromalScore
THCA,TCGA-EM-A2OX-01A-11R-A206-07,TCGA-EM-A2OX-01A,ImmuneScore,421.728068441171,Low,ImmuneScore
THCA,TCGA-EM-A2OX-01A-11R-A206-07,TCGA-EM-A2OX-01A,ESTIMATEScore,512.690320224294,Low,ESTIMATEScore
THCA,TCGA-EM-A2OX-01A-11R-A206-07,TCGA-EM-A2OX-01A,TumorPurity,0.777419148335971,Low,TumorPurity
THCA,TCGA-FE-A235-01A-11R-A16R-07,TCGA-FE-A235-01A,StromalScore,82.1455089355358,Low,StromalScore
THCA,TCGA-FE-A235-01A-11R-A16R-07,TCGA-FE-A235-01A,ImmuneScore,549.595745846485,Low,ImmuneScore
THCA,TCGA-FE-A235-01A-11R-A16R-07,TCGA-FE-A235-01A,ESTIMATEScore,631.741254782021,Low,ESTIMATEScore
THCA,TCGA-FE-A235-01A-11R-A16R-07,TCGA-FE-A235-01A,TumorPurity,0.766309342148846,Low,TumorPurity
THCA,TCGA-DE-A2OL-01A-11R-A18C-07,TCGA-DE-A2OL-01A,StromalScore,-893.025163813257,High,StromalScore
THCA,TCGA-DE-A2OL-01A-11R-A18C-07,TCGA-DE-A2OL-01A,ImmuneScore,-1093.29413039915,High,ImmuneScore
THCA,TCGA-DE-A2OL-01A-11R-A18C-07,TCGA-DE-A2OL-01A,ESTIMATEScore,-1986.3192942124,High,ESTIMATEScore
THCA,TCGA-DE-A2OL-01A-11R-A18C-07,TCGA-DE-A2OL-01A,TumorPurity,0.951285142618971,High,TumorPurity
THCA,TCGA-KS-A41L-01A-11R-A23N-07,TCGA-KS-A41L-01A,StromalScore,-701.643475040551,Low,StromalScore
THCA,TCGA-KS-A41L-01A-11R-A23N-07,TCGA-KS-A41L-01A,ImmuneScore,-744.259248210657,Low,ImmuneScore
THCA,TCGA-KS-A41L-01A-11R-A23N-07,TCGA-KS-A41L-01A,ESTIMATEScore,-1445.90272325121,Low,ESTIMATEScore
THCA,TCGA-KS-A41L-01A-11R-A23N-07,TCGA-KS-A41L-01A,TumorPurity,0.923861785415806,Low,TumorPurity
THCA,TCGA-EM-A22K-01A-11R-A180-07,TCGA-EM-A22K-01A,StromalScore,-413.916954299001,High,StromalScore
THCA,TCGA-EM-A22K-01A-11R-A180-07,TCGA-EM-A22K-01A,ImmuneScore,-210.567748350716,High,ImmuneScore
