Cancer,Feature,Display,Method,Feature_Label,N_Low,N_High,Median_Low,Median_High,Effect,P,FDR,Significance,NegLogFDR,SignedNegLogFDR,SignedNegLogFDR_cap,Direction
LUAD,Tregs_quantiseq,Tregs,quanTIseq,Tregs,298,299,0.0383343344255269,0.0413434118222636,0.00300907739673666,0.0283267916986375,0.0354084896232968,*,1.45089259801618,1.45089259801618,1.45089259801618,High
LUAD,Tregs_xCell,Tregs,xCell,Tregs (xCell),298,299,0,0,0,0.289541488963819,0.289541488963819,"",0.53828919657545,0,0,NS
LUSC,Dysfunction,Dysfunction,TIDEpy,T-cell dysfunction,250,251,-0.176545741095776,-0.377800408414211,-0.201254667318435,8.56985741565935e-31,4.28492870782968e-30,****,29.3680563994243,-29.3680563994243,-6,Low
LUSC,MDSC,MDSC,TIDEpy,MDSC,250,251,0.009721934861977,0.0249233668249251,0.0152014319629481,7.0705730360201e-25,1.76764325900502e-24,****,23.7526053786207,23.7526053786207,6,High
LUSC,TAM M2,TAM M2,TIDEpy,TAM M2,250,251,-0.00905881620962633,-0.00122002225990813,0.0078387939497182,4.1491684699302e-10,6.91528078321699e-10,****,9.16019018140773,9.16019018140773,6,High
LUSC,Tregs_quantiseq,Tregs,quanTIseq,Tregs,276,275,0.0262539350508374,0.0187157857036203,-0.00753814934721714,9.49524471875595e-06,1.18690558984449e-05,****,4.92558382480298,-4.92558382480298,-4.92558382480298,Low
LUSC,Tregs_xCell,Tregs,xCell,Tregs (xCell),276,275,0,0,0,0.603102245546016,0.603102245546016,"",0.219609054506285,0,0,NS
MESO,Dysfunction,Dysfunction,TIDEpy,T-cell dysfunction,43,44,0.0450773599855789,-0.0533132681635435,-0.0983906281491224,1.51402991932873e-06,7.57014959664363e-06,****,5.1208955381545,-5.1208955381545,-5.1208955381545,Low
MESO,MDSC,MDSC,TIDEpy,MDSC,43,44,0.018636431185256,0.0368343773691611,0.0181979461839051,1.915423839333e-05,4.7885595983325e-05,****,4.3197951029885,4.3197951029885,4.3197951029885,High
MESO,Tregs_quantiseq,Tregs,quanTIseq,Tregs,43,44,0.0196976354176189,0.0265013959226762,0.00680376050505729,0.0566603586520291,0.0864085701707768,"",1.06344318120983,1.06344318120983,1.06344318120983,NS
MESO,Tregs_xCell,Tregs,xCell,Tregs (xCell),43,44,3.32757428456819e-23,0,-3.32757428456819e-23,0.0691268561366214,0.0864085701707768,"",1.06344318120983,-1.06344318120983,-1.06344318120983,NS
MESO,TAM M2,TAM M2,TIDEpy,TAM M2,43,44,-0.00916313257250862,-0.00967973617725186,-0.000516603604743241,0.808815472566648,0.808815472566648,"",0.0921505493235309,-0.0921505493235309,-0.0921505493235309,NS
OV,Tregs_quantiseq,Tregs,quanTIseq,Tregs,189,192,0.0112573553105945,0.0169700879865082,0.00571273267591363,6.74524884335546e-08,3.37262442167773e-07,****,6.47203201952075,6.47203201952075,6,High
OV,Dysfunction,Dysfunction,TIDEpy,T-cell dysfunction,189,189,-0.167699710126124,-0.209266592883686,-0.041566882757562,4.63924108717988e-07,1.15981027179497e-06,****,5.93561304926592,-5.93561304926592,-5.93561304926592,Low
OV,MDSC,MDSC,TIDEpy,MDSC,189,189,0.0415902619279182,0.0475049608502346,0.0059146989223164,1.58202266715129e-06,2.63670444525214e-06,****,5.57893854862515,5.57893854862515,5.57893854862515,High
OV,Tregs_xCell,Tregs,xCell,Tregs (xCell),189,192,2.26158230549649e-24,0,-2.26158230549649e-24,0.311617978168431,0.343095730791561,"",0.464584685922849,-0.464584685922849,-0.464584685922849,NS
OV,TAM M2,TAM M2,TIDEpy,TAM M2,189,189,-0.00396523292330661,-0.00605737753952229,-0.00209214461621568,0.343095730791561,0.343095730791561,"",0.464584685922849,-0.464584685922849,-0.464584685922849,NS
PAAD,MDSC,MDSC,TIDEpy,MDSC,89,89,0.0155078449036735,0.0215177992648413,0.0060099543611678,0.0016950776166154,0.00847538808307699,**,2.07184040657856,2.07184040657856,2.07184040657856,High
PAAD,Tregs_quantiseq,Tregs,quanTIseq,Tregs,91,92,0.0238648768527288,0.0303342456317014,0.00646936877897254,0.0135612126814961,0.0339030317037403,*,1.46976146423544,1.46976146423544,1.46976146423544,High
PAAD,TAM M2,TAM M2,TIDEpy,TAM M2,89,89,-0.00640808784942522,-0.00585347314500563,0.00055461470441959,0.0472472807034263,0.0787454678390438,"",1.10377443244802,1.10377443244802,1.10377443244802,NS
PAAD,Dysfunction,Dysfunction,TIDEpy,T-cell dysfunction,89,89,-0.0243967136838576,-0.0352109773853012,-0.0108142637014436,0.128862146965338,0.161077683706673,"",0.792964624164203,-0.792964624164203,-0.792964624164203,NS
PAAD,Tregs_xCell,Tregs,xCell,Tregs (xCell),91,92,0,0,0,0.414877927823208,0.414877927823208,"",0.382079669725306,0,0,NS
PCPG,Tregs_quantiseq,Tregs,quanTIseq,Tregs,92,95,0.0137359362384309,0.0206071595033652,0.00687122326493435,7.87760018118445e-06,3.93880009059222e-05,****,4.40463606076381,4.40463606076381,4.40463606076381,High
PCPG,Tregs_xCell,Tregs,xCell,Tregs (xCell),92,95,1.09422471285525e-23,0,-1.09422471285525e-23,0.225902011580191,0.4434577016543,"",0.353147798186694,-0.353147798186694,-0.353147798186694,NS
PCPG,MDSC,MDSC,TIDEpy,MDSC,89,90,0.0107335951294783,0.0119778954686127,0.0012443003391344,0.26607462099258,0.4434577016543,"",0.353147798186694,0.353147798186694,0.353147798186694,NS
PCPG,TAM M2,TAM M2,TIDEpy,TAM M2,89,90,0.000146765893579855,0.000186035914128953,3.9270020549098e-05,0.776282052356837,0.904700697910912,"",0.0434950746565079,0.0434950746565079,0.0434950746565079,NS
