Cancer,Feature,Display,Category,Method,Source,Canonical,N_Low,N_High,Median_Low,Median_High,Effect,P,FDR,Significance,P_label,FDR_label,Feature_Display,Center,Spread,Low_Z,High_Z,Diff_Z,FDR_star
STAD,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Epithelial Mesenchymal Transition,Immune exclusion,MSigDB Hallmark ssGSEA,msigdbr::msigdbr(collection='H'),EPITHELIALMESENCHYMALTRANSITION,204,198,0.415591504206049,0.35086922900365,-0.0647222752023985,0.00153143471668383,0.00714669534452452,**,P=0.00153,FDR=0.00715,EMT,0.266999790790937,0.124680700020625,1.19177798480865,0.672673783503293,-0.519104201305354,**
STAD,Endothelial_EPIC,Endothelial,Immune exclusion,EPIC,IOBR::deconvo_tme(method='epic'),ENDOTHELIAL,204,198,0.0688592541084931,0.0555688533450704,-0.0132904007634227,0.0229144330846687,0.0571809358086323,*,P=0.0229,FDR=0.0572,Endothelial cells,2.33387776121578e-23,3.46020716877851e-23,1.99003269890344e+21,1.60594006759101e+21,-3.8409263131243e+20,""
STAD,Exclusion,Exclusion,Immune exclusion,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/STAD/STAD_TIDE_score_long.csv,EXCLUSION,187,188,0.297951931459695,0.449664592603929,0.151712661144233,0.0156188015240973,0.0546658053343404,*,P=0.0156,FDR=0.0547,Exclusion score,0.518559332003667,0.260469451282052,-0.846960745139683,-0.264502186573634,0.582458558566049,""
STAD,Fibroblasts_MCPcounter,Fibroblasts,Immune exclusion,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),FIBROBLASTS,204,198,279.49154375,291.079275,11.58773125,0.449136681912614,0.698657060752954,ns,P=0.449,FDR=0.699,Fibroblasts,1.197275,1.775079915,156.778444958068,163.30645034649,6.5280053884222,""
STAD,HALLMARK_TGF_BETA_SIGNALING,TGF Beta Signaling,Immune exclusion,MSigDB Hallmark ssGSEA,msigdbr::msigdbr(collection='H'),TGFBETASIGNALING,204,198,0.396892263850676,0.4325991830042,0.0357069191535243,1.81932313821944e-06,2.54705239350722e-05,****,P=1.82e-06,FDR=2.55e-05,TGF-beta signaling,0.409022218252099,0.142799140816971,-0.084944169355828,0.165105788572774,0.250049957928602,****
TGCT,CAF,CAF,Immune exclusion,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/TGCT/TGCT_TIDE_score_long.csv,CAF,75,75,0.0187753541348765,0.0191410945691081,0.000365740434231598,0.69308908218162,0.746403626964822,ns,P=0.693,FDR=0.746,CAF,0.0394390710931143,0.0312357940078499,-0.661539673140524,-0.649830656422726,0.0117090167177976,""
TGCT,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Epithelial Mesenchymal Transition,Immune exclusion,MSigDB Hallmark ssGSEA,msigdbr::msigdbr(collection='H'),EPITHELIALMESENCHYMALTRANSITION,77,79,0.182305901679797,0.134044707801394,-0.0482611938784035,0.00297339568623988,0.0208137698036792,**,P=0.00297,FDR=0.0208,EMT,0.266999790790937,0.124680700020625,-0.679286281654896,-1.06636458543743,-0.387078303782538,*
TGCT,Endothelial_cells_MCPcounter,Endothelial Cells,Immune exclusion,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),ENDOTHELIALCELLS,77,79,10.1527333333333,12.7888033333333,2.63607,0.00627643674937909,0.0292900381637691,**,P=0.00628,FDR=0.0293,Endothelial cells,2.33387776121578e-23,3.46020716877851e-23,2.93414030955763e+23,3.69596463724104e+23,7.61824327683409e+22,*
TGCT,Exclusion,Exclusion,Immune exclusion,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/TGCT/TGCT_TIDE_score_long.csv,EXCLUSION,75,75,0.482454831040272,0.63400332328625,0.151548492245978,0.0387058625056162,0.108376415015725,*,P=0.0387,FDR=0.108,Exclusion score,0.518559332003667,0.260469451282052,-0.138613187787225,0.443215089962982,0.581828277750207,""
TGCT,Fibroblasts_MCPcounter,Fibroblasts,Immune exclusion,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),FIBROBLASTS,77,79,173.152625,124.2998125,-48.8528125,0.0542565427507355,0.126598599751716,ns,P=0.0543,FDR=0.127,Fibroblasts,1.197275,1.775079915,96.8718921029536,69.3504199217983,-27.5214721811553,""
TGCT,HALLMARK_TGF_BETA_SIGNALING,TGF Beta Signaling,Immune exclusion,MSigDB Hallmark ssGSEA,msigdbr::msigdbr(collection='H'),TGFBETASIGNALING,77,79,0.335234096887177,0.438904696786489,0.103670599899313,3.44091274670108e-09,4.81727784538151e-08,****,P=3.44e-09,FDR=4.82e-08,TGF-beta signaling,0.409022218252099,0.142799140816971,-0.516726647953005,0.209262313228415,0.72598896118142,****
THCA,CAF,CAF,Immune exclusion,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/THCA/THCA_TIDE_score_long.csv,CAF,252,252,0.0609118629812948,0.077551652798388,0.0166397898170932,5.26211581656571e-11,3.683481071596e-10,****,P=5.26e-11,FDR=3.68e-10,CAF,0.0394390710931143,0.0312357940078499,0.687441845812666,1.22015728800413,0.532715442191463,****
THCA,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Epithelial Mesenchymal Transition,Immune exclusion,MSigDB Hallmark ssGSEA,msigdbr::msigdbr(collection='H'),EPITHELIALMESENCHYMALTRANSITION,287,284,0.214265947513676,0.207589010694085,-0.00667693681959175,0.59301325285772,0.754744140000735,ns,P=0.593,FDR=0.755,EMT,0.266999790790937,0.124680700020625,-0.422951132521213,-0.476503421034884,-0.0535522885136712,""
THCA,Endothelial_cells_MCPcounter,Endothelial Cells,Immune exclusion,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),ENDOTHELIALCELLS,287,284,18.6720633333333,28.1229333333333,9.45087,6.21416645742292e-17,8.69983304039209e-16,****,P=6.21e-17,FDR=8.70e-16,Endothelial cells,2.33387776121578e-23,3.46020716877851e-23,5.3962269952538e+23,8.12752877546954e+23,2.73130178021574e+23,****
THCA,Exclusion,Exclusion,Immune exclusion,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/THCA/THCA_TIDE_score_long.csv,EXCLUSION,252,252,0.586471702378295,0.694367239644139,0.107895537265844,3.98198495649582e-09,1.85825964636472e-08,****,P=3.98e-09,FDR=1.86e-08,Exclusion score,0.518559332003667,0.260469451282052,0.260730653980181,0.674965554598174,0.414234900617992,****
THCA,Fibroblasts_MCPcounter,Fibroblasts,Immune exclusion,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),FIBROBLASTS,287,284,62.2612625,70.23795625,7.97669375,0.0249513575541436,0.0499027151082872,*,P=0.025,FDR=0.0499,Fibroblasts,1.197275,1.775079915,34.400697672251,38.8944073258809,4.49370965362987,*
THCA,HALLMARK_TGF_BETA_SIGNALING,TGF Beta Signaling,Immune exclusion,MSigDB Hallmark ssGSEA,msigdbr::msigdbr(collection='H'),TGFBETASIGNALING,287,284,0.524951116314876,0.563163392038104,0.0382122757232275,8.08904246947603e-09,2.83116486431661e-08,****,P=8.09e-09,FDR=2.83e-08,TGF-beta signaling,0.409022218252099,0.142799140816971,0.811831901785497,1.07942647906804,0.267594577282545,****
THYM,CAF,CAF,Immune exclusion,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/THYM/THYM_TIDE_score_long.csv,CAF,60,60,0.0138448846420436,0.00245448079266897,-0.0113904038493746,0.0620566034238746,0.217198111983561,ns,P=0.0621,FDR=0.217,CAF,0.0394390710931143,0.0312357940078499,-0.819386452754765,-1.18404514676818,-0.364658694013416,""
THYM,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Epithelial Mesenchymal Transition,Immune exclusion,MSigDB Hallmark ssGSEA,msigdbr::msigdbr(collection='H'),EPITHELIALMESENCHYMALTRANSITION,60,62,0.137311851797847,0.120236952848451,-0.0170748989493958,0.147974834043071,0.345274612767165,ns,P=0.148,FDR=0.345,EMT,0.266999790790937,0.124680700020625,-1.04016049774854,-1.17710951188282,-0.136949014134276,""
THYM,Endothelial_EPIC,Endothelial,Immune exclusion,EPIC,IOBR::deconvo_tme(method='epic'),ENDOTHELIAL,60,62,0.0434522578430418,0.0317639115866488,-0.011688346256393,0.00529592213738553,0.0370714549616987,**,P=0.0053,FDR=0.0371,Endothelial cells,2.33387776121578e-23,3.46020716877851e-23,1.25577041268257e+21,9.17977162559946e+20,-3.37793250122625e+20,*
THYM,Exclusion,Exclusion,Immune exclusion,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/THYM/THYM_TIDE_score_long.csv,EXCLUSION,60,60,0.393860430472985,0.433854481171991,0.0399940506990055,0.601503544007089,0.74768942917211,ns,P=0.602,FDR=0.748,Exclusion score,0.518559332003667,0.260469451282052,-0.478746743301002,-0.32520071131087,0.153546031990131,""
THYM,Fibroblasts_xCell,Fibroblasts,Immune exclusion,xCell,IOBR::deconvo_tme(method='xcell'),FIBROBLASTS,60,62,1.98332854791477e-23,3.85226198455046e-22,3.65392912975899e-22,0.114773431913792,0.321365609358617,ns,P=0.115,FDR=0.321,Fibroblasts,1.197275,1.775079915,-0.674490759476595,-0.674490759476595,0,""
THYM,HALLMARK_TGF_BETA_SIGNALING,TGF Beta Signaling,Immune exclusion,MSigDB Hallmark ssGSEA,msigdbr::msigdbr(collection='H'),TGFBETASIGNALING,60,62,0.466670009617031,0.533538934185129,0.0668689245680979,6.6672989663167e-06,9.33421855284338e-05,****,P=6.67e-06,FDR=9.33e-05,TGF-beta signaling,0.409022218252099,0.142799140816971,0.403698446889257,0.871971044227959,0.468272597338702,****
UCEC,CAF,CAF,Immune exclusion,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/UCEC/UCEC_TIDE_score_long.csv,CAF,272,273,0.0322256501015357,0.0439929236109772,0.0117672735094415,1.98085457000837e-09,1.38659819900586e-08,****,P=1.98e-09,FDR=1.39e-08,CAF,0.0394390710931143,0.0312357940078499,-0.230934452627193,0.145789555300516,0.376724007927708,****
UCEC,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Epithelial Mesenchymal Transition,Immune exclusion,MSigDB Hallmark ssGSEA,msigdbr::msigdbr(collection='H'),EPITHELIALMESENCHYMALTRANSITION,280,297,0.340911042345874,0.284674267371375,-0.056236774974499,0.0259333628864156,0.0518667257728312,*,P=0.0259,FDR=0.0519,EMT,0.266999790790937,0.124680700020625,0.592804271572989,0.141757919048532,-0.451046352524457,""
