Cancer,Feature,Display,Method,Source,Canonical,Low,High,P,FDR,Z_Effect,PlotEffect,Significance,Direction,Feature_Label,Feature_Main_Label,Feature_rank,Feature_strength
TGCT,Neutrophils_MCPcounter,Neutrophils,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),NEUTROPHILS,-0.662989557994827,-0.195230591343168,1.86389173729148e-06,9.69223703391568e-05,0.467758966651659,0.467758966651659,****,Higher in High,"Neutrophils
(MCP-counter)",Neutrophils,26,0.430056075000469
TGCT,Plasma_cells_xCell,Plasma Cells,xCell,IOBR::deconvo_tme(method='xcell'),PLASMACELLS,-0.0178943118235993,-1.39024829590551,4.45551513736346e-05,0.0011584339357145,-1.37235398408191,-1.37235398408191,**,Higher in Low,"Plasma Cells
(xCell)",Plasma Cells,17,0.992393287098344
TGCT,CD4_Tcells_EPIC,CD4 T cells,EPIC,IOBR::deconvo_tme(method='epic'),CD4TCELLS,-0.91364679144434,-0.279229005236112,0.000169270949288021,0.00293402978765903,0.634417786208228,0.634417786208228,**,Higher in High,"CD4 T cells
(EPIC)",CD4 T cells,15,0.274341342294552
TGCT,Dendritic_cells_quantiseq,Dendritic Cells,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),DENDRITICCELLS,-0.229693287809024,0.0487903416222364,0.00354834713493633,0.0307523418361149,0.27848362943126,0.27848362943126,*,Higher in High,"Dendritic Cells
(quanTIseq)",Dendritic Cells,15,0.101275921222628
TGCT,Endothelial_cells_MCPcounter,Endothelial Cells,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),ENDOTHELIALCELLS,-0.21876498604475,0.0384193605499224,0.00627643674937909,0.0465304204927934,0.257184346594672,0.257184346594672,*,Higher in High,"Endothelial Cells
(MCP-counter)",Endothelial Cells,17,0.20020690832769
TGCT,NK_cells_quantiseq,NK Cells,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),NKCELLS,-0.445577301071645,-0.723324535453993,0.274720103442489,0.577529323323617,-0.277747234382348,-0.277747234382348,"",Higher in Low,"NK Cells
(quanTIseq)",NK Cells,20,0.228435581079708
TGCT,Basophils_xCell,Basophils,xCell,IOBR::deconvo_tme(method='xcell'),BASOPHILS,-0.390301292609763,0.0137507189097157,0.460938910725951,0.744752944216901,0.404052011519479,0.404052011519479,"",Higher in High,"Basophils
(xCell)",Basophils,18,0.770950567705175
TGCT,CD4+_Tem_xCell,CD4+ Tem,xCell,IOBR::deconvo_tme(method='xcell'),CD4TEM,1.02470480380964,1.1359279227408,0.913899610481174,0.962740460482462,0.111223118931154,0.111223118931154,"",Higher in High,"CD4+ Tem
(xCell)",CD4+ Tem,15,0.811814733302377
THCA,Neutrophils_MCPcounter,Neutrophils,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),NEUTROPHILS,1.98955227969356,4.00396237314299,2.59866168379636e-40,1.35130407557411e-38,2.01441009344944,2.01441009344944,****,Higher in High,"Neutrophils
(MCP-counter)",Neutrophils,26,0.430056075000469
THCA,NK_cells_quantiseq,NK Cells,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),NKCELLS,-0.760129243426214,-0.621277788804165,5.71858104793856e-23,9.91220714976016e-22,0.138851454622049,0.138851454622049,****,Higher in High,"NK Cells
(quanTIseq)",NK Cells,20,0.228435581079708
THCA,Endothelial_cells_MCPcounter,Endothelial Cells,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),ENDOTHELIALCELLS,0.61241109026369,1.53447151570808,6.21416645742292e-17,8.0784163946498e-16,0.922060425444389,0.922060425444389,****,Higher in High,"Endothelial Cells
(MCP-counter)",Endothelial Cells,17,0.20020690832769
THCA,Plasma_cells_xCell,Plasma Cells,xCell,IOBR::deconvo_tme(method='xcell'),PLASMACELLS,0.478965318989205,-0.768010152713737,5.56236214758679e-07,4.82071386124189e-06,-1.24697547170294,-1.24697547170294,****,Higher in Low,"Plasma Cells
(xCell)",Plasma Cells,17,0.992393287098344
THCA,Dendritic_cells_quantiseq,Dendritic Cells,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),DENDRITICCELLS,-0.373622952407074,-0.161531376647813,6.79148097188449e-06,4.41446263172492e-05,0.212091575759262,0.212091575759262,****,Higher in High,"Dendritic Cells
(quanTIseq)",Dendritic Cells,15,0.101275921222628
THCA,Basophils_xCell,Basophils,xCell,IOBR::deconvo_tme(method='xcell'),BASOPHILS,0.517162402957512,-0.234423642221275,3.13163546833302e-05,0.000180938938170352,-0.751586045178786,-0.751586045178786,***,Higher in Low,"Basophils
(xCell)",Basophils,18,0.770950567705175
THCA,CD4+_Tem_xCell,CD4+ Tem,xCell,IOBR::deconvo_tme(method='xcell'),CD4TEM,2.13109577509945,0.534811512796567,0.000345304486319297,0.00149631944071695,-1.59628426230289,-1.59628426230289,**,Higher in Low,"CD4+ Tem
(xCell)",CD4+ Tem,15,0.811814733302377
THCA,CD4_Tcells_EPIC,CD4 T cells,EPIC,IOBR::deconvo_tme(method='epic'),CD4TCELLS,-1.42678323059752,-1.03485671106777,0.00235237907794705,0.0076452320033279,0.391926519529743,0.391926519529743,**,Higher in High,"CD4 T cells
(EPIC)",CD4 T cells,15,0.274341342294552
UCEC,NK_cells_quantiseq,NK Cells,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),NKCELLS,-0.271911697701948,-0.0330265099069628,7.07785595579763e-16,3.68048509701477e-14,0.238885187794985,0.238885187794985,****,Higher in High,"NK Cells
(quanTIseq)",NK Cells,20,0.228435581079708
UCEC,Basophils_xCell,Basophils,xCell,IOBR::deconvo_tme(method='xcell'),BASOPHILS,1.24731218860947,-0.651267454470103,1.93101367922063e-12,5.02063556597365e-11,-1.89857964307957,-1.89857964307957,****,Higher in Low,"Basophils
(xCell)",Basophils,18,0.770950567705175
UCEC,Dendritic_cells_quantiseq,Dendritic Cells,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),DENDRITICCELLS,0.170892100460671,0.579109290205694,2.23941136994097e-10,2.91123478092326e-09,0.408217189745024,0.408217189745024,****,Higher in High,"Dendritic Cells
(quanTIseq)",Dendritic Cells,15,0.101275921222628
UCEC,Neutrophils_MCPcounter,Neutrophils,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),NEUTROPHILS,-0.889067868862409,-0.623857145200542,3.73508435745203e-08,3.88448773175011e-07,0.265210723661868,0.265210723661868,****,Higher in High,"Neutrophils
(MCP-counter)",Neutrophils,26,0.430056075000469
UCEC,CD4+_Tem_xCell,CD4+ Tem,xCell,IOBR::deconvo_tme(method='xcell'),CD4TEM,1.61584493291586,0.13577623847072,1.72842649492892e-07,1.4979696289384e-06,-1.48006869444514,-1.48006869444514,****,Higher in Low,"CD4+ Tem
(xCell)",CD4+ Tem,15,0.811814733302377
UCEC,Plasma_cells_xCell,Plasma Cells,xCell,IOBR::deconvo_tme(method='xcell'),PLASMACELLS,0.691426994681336,-0.379644071448831,3.48411927599747e-06,2.58820289074098e-05,-1.07107106613017,-1.07107106613017,****,Higher in Low,"Plasma Cells
(xCell)",Plasma Cells,17,0.992393287098344
UCEC,Endothelial_cells_MCPcounter,Endothelial Cells,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),ENDOTHELIALCELLS,-0.458827254869781,-0.368765366458241,0.000296035288504462,0.00147929305190286,0.0900618884115399,0.0900618884115399,**,Higher in High,"Endothelial Cells
(MCP-counter)",Endothelial Cells,17,0.20020690832769
UCEC,CD4_Tcells_EPIC,CD4 T cells,EPIC,IOBR::deconvo_tme(method='epic'),CD4TCELLS,-0.219016348046408,-0.00117813835463798,0.00142991890328918,0.00571967561315671,0.21783820969177,0.21783820969177,**,Higher in High,"CD4 T cells
(EPIC)",CD4 T cells,15,0.274341342294552
