Cancer,Feature,Display,Category,Method,Source,Canonical,N_Low,N_High,Median_Low,Median_High,Effect,P,FDR,Significance,P_label,FDR_label,Feature_Display,Center,Spread,Low_Z,High_Z,Diff_Z,FDR_star
GBM,Dysfunction,Dysfunction,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/GBM/GBM_TIDE_score_long.csv,DYSFUNCTION,80,81,-0.0677177263508925,-0.161664987707184,-0.0939472613562915,2.15331182834569e-06,5.38327957086424e-06,****,P=2.15e-06,FDR=5.38e-06,T-cell dysfunction,-0.121938022256179,0.112465199954439,0.482107317883677,-0.353237850171425,-0.835345168055103,****
GBM,TAM M2,TAM M2,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/GBM/GBM_TIDE_score_long.csv,TAMM2,80,81,-0.00280325862736689,0.00310647006763842,0.00590972869500531,0.0157038322767369,0.0196297903459211,*,P=0.0157,FDR=0.0196,TAM M2,-0.00262703812671226,0.00966502050581696,-0.0182328118754198,0.593222558700204,0.611455370575624,*
GBM,Tregs_quantiseq,Tregs,Immune suppression,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),TREGS,85,84,0,0,0,0.0104720019521347,0.0174533365868912,*,P=0.0105,FDR=0.0175,Tregs,1.97988101305249e-23,2.93537158995162e-23,-0.674490759476595,-0.674490759476595,0,*
HNSC,MDSC,MDSC,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/HNSC/HNSC_TIDE_score_long.csv,MDSC,251,251,0.0153993790802007,0.0275779732017864,0.0121785941215857,5.80522419937181e-22,1.45130604984295e-21,****,P=5.81e-22,FDR=1.45e-21,MDSC,0.0245951802567663,0.0169871580848144,-0.541338411678534,0.17559105120041,0.716929462878944,****
HNSC,Dysfunction,Dysfunction,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/HNSC/HNSC_TIDE_score_long.csv,DYSFUNCTION,251,251,-0.0184416051052189,-0.0642809656783163,-0.0458393605730974,4.8120309166312e-24,2.4060154583156e-23,****,P=4.81e-24,FDR=2.41e-23,T-cell dysfunction,-0.121938022256179,0.112465199954439,0.920252817697273,0.512665754395314,-0.407587063301959,****
HNSC,TAM M2,TAM M2,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/HNSC/HNSC_TIDE_score_long.csv,TAMM2,251,251,-0.0196031601769294,-0.0141770655805936,0.0054260945963358,0.000859712401585639,0.00143285400264273,***,P=8.60e-04,FDR=0.00143,TAM M2,-0.00262703812671226,0.00966502050581696,-1.75644966712693,-1.19503393158141,0.561415735545524,**
HNSC,Tregs_quantiseq,Tregs,Immune suppression,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),TREGS,275,272,0.0200367987537625,0.0253465547526235,0.00530975599886106,0.00496214892670871,0.00620268615838589,**,P=0.00496,FDR=0.0062,Tregs,1.97988101305249e-23,2.93537158995162e-23,6.82598374337088e+20,8.63487091017367e+20,1.80888716680279e+20,**
KICH,MDSC,MDSC,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/KICH/KICH_TIDE_score_long.csv,MDSC,32,33,0.00530053964998253,0.0037775476791545,-0.00152299197082803,0.747847327586818,0.747847327586818,ns,P=0.748,FDR=0.748,MDSC,0.0245951802567663,0.0169871580848144,-1.13583687809629,-1.22549236745031,-0.089655489354014,""
KICH,Dysfunction,Dysfunction,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/KICH/KICH_TIDE_score_long.csv,DYSFUNCTION,32,33,-0.11127762368719,-0.216413617781258,-0.105135994094068,0.00010556485311849,0.000527824265592449,***,P=1.06e-04,FDR=5.28e-04,T-cell dysfunction,-0.121938022256179,0.112465199954439,0.0947884196472078,-0.840042924952365,-0.934831344599573,***
KICH,TAM M2,TAM M2,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/KICH/KICH_TIDE_score_long.csv,TAMM2,32,33,-0.0139865216106369,-0.0139887447814309,-2.22317079399958e-06,0.466461398977925,0.583076748722406,ns,P=0.466,FDR=0.583,TAM M2,-0.00262703812671226,0.00966502050581696,-1.17531912913044,-1.17554915148711,-0.000230022356668691,""
KICH,Tregs_quantiseq,Tregs,Immune suppression,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),TREGS,42,47,0.00113162300212572,0.00347011101914698,0.00233848801702126,0.205893116221719,0.462509185370368,ns,P=0.206,FDR=0.463,Tregs,1.97988101305249e-23,2.93537158995162e-23,38551269147643800000,1.18217094933598e+20,79665825785954500000,""
KIRC,MDSC,MDSC,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/KIRC/KIRC_TIDE_score_long.csv,MDSC,266,266,0.0145808830187733,0.0185793347061559,0.0039984516873826,0.0054153954337945,0.00676924429224313,**,P=0.00542,FDR=0.00677,MDSC,0.0245951802567663,0.0169871580848144,-0.589521636756017,-0.35414078803377,0.235380848722247,**
KIRC,Dysfunction,Dysfunction,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/KIRC/KIRC_TIDE_score_long.csv,DYSFUNCTION,266,266,-0.0740723091809764,-0.0884291563127808,-0.0143568471318044,0.0032909196754803,0.0054848661258005,**,P=0.00329,FDR=0.00548,T-cell dysfunction,-0.121938022256179,0.112465199954439,0.425604658993121,0.297948751764747,-0.127655907228374,**
