Model,Training,Testing,GSE72094,GSE68465,Average,ExternalMean,Train_Test_Gap,Complexity,FeatureN,IsSelected
StepCox[forward] + survival-SVM,0.607947322097989,0.663394109396915,0.609435523919881,0.609398831186482,0.622543946650317,0.609417177553181,0.055446787298926,2,22,FALSE
StepCox[forward] + SuperPC,0.609968380219709,0.663394109396915,0.604999172322463,0.60832666374715,0.621672081421559,0.606662918034806,0.053425729177206,2,22,FALSE
StepCox[both] + Ridge,0.715682759070313,0.634876110331931,0.608773381890416,0.515954153516256,0.618821601202229,0.562363767703336,0.080806648738382,2,22,FALSE
StepCox[both] + Enet[α=0.1],0.715813149916876,0.630201028517999,0.604072173481212,0.520348529922532,0.617608720459655,0.562210351701872,0.085612121398877,2,22,FALSE
StepCox[both] + Enet[α=0.2],0.716660690419533,0.627863487611033,0.603045853335541,0.520710952718926,0.617070246021258,0.561878403027233,0.0887972028084999,2,22,FALSE
StepCox[both] + Enet[α=0.5],0.716791081266095,0.626928471248247,0.601556033769244,0.521768019208408,0.616760901372999,0.561662026488826,0.089862610017848,2,22,FALSE
StepCox[both] + Enet[α=0.3],0.716954069824298,0.626928471248247,0.60182089058103,0.521194183114118,0.616724403691923,0.561507536847574,0.090025598576051,2,22,FALSE
StepCox[both] + Enet[α=0.4],0.716628092707892,0.626460963066854,0.601986426088396,0.521360293562465,0.616608943856402,0.561673359825431,0.090167129641038,2,22,FALSE
StepCox[both] + Enet[α=0.6],0.716660690419533,0.624590930341281,0.601291176957457,0.521783120158258,0.616081479469132,0.561537148557858,0.092069760078252,2,22,FALSE
StepCox[both] + Enet[α=0.7],0.71604133389836,0.623188405797102,0.600397285217679,0.522387158152248,0.615503545766347,0.561392221684964,0.092852928101258,2,22,FALSE
StepCox[both] + plsRcox,0.704240962284448,0.625058438522674,0.610859129283231,0.520741154618626,0.615224921177245,0.565800141950929,0.079182523761774,2,22,FALSE
StepCox[forward] + Ridge,0.711119079440623,0.637213651238897,0.60993213044198,0.502136784403739,0.61510041138131,0.556034457422859,0.0739054282017261,2,22,FALSE
StepCox[both] + Enet[α=0.8],0.71604133389836,0.621318373071529,0.6,0.522779782848341,0.615034872454558,0.561389891424171,0.094722960826831,2,22,FALSE
StepCox[both] + CoxBoost,0.715747954493595,0.620383356708743,0.598940572752856,0.524848612977756,0.614980124233238,0.561894592865306,0.095364597784852,2,22,FALSE
StepCox[backward] + StepCox[forward],0.700003259771164,0.654043945769051,0.597980466810131,0.507527823500098,0.614888873962611,0.552754145155114,0.045959314002113,2,19,FALSE
StepCox[both] + Enet[α=0.9],0.715552368223751,0.620383356708743,0.599205429564642,0.522900590447139,0.614510436236069,0.56105301000589,0.095169011515008,2,22,FALSE
StepCox[both] + Lasso,0.715780552205235,0.619915848527349,0.599437179274954,0.522809984748041,0.614485891188895,0.561123582011498,0.0958647036778859,2,22,FALSE
StepCox[both],0.713955080353359,0.611033193080879,0.596424433040887,0.528638951390042,0.612512914466292,0.562531692215465,0.10292188727248,1,22,FALSE
StepCox[both] + StepCox[backward],0.713955080353359,0.611033193080879,0.596424433040887,0.528638951390042,0.612512914466292,0.562531692215465,0.10292188727248,2,22,FALSE
StepCox[both] + StepCox[forward],0.713955080353359,0.611033193080879,0.596424433040887,0.528638951390042,0.612512914466292,0.562531692215465,0.10292188727248,2,22,FALSE
StepCox[forward] + CoxBoost,0.710271538937967,0.628330995792426,0.605793742757822,0.504930460125942,0.612331684403539,0.555362101441882,0.081940543145541,2,22,FALSE
StepCox[forward] + Lasso,0.710662711477654,0.626928471248247,0.604105280582685,0.506425454161067,0.612030479367413,0.555265367371876,0.083734240229407,2,22,FALSE
StepCox[forward] + Enet[α=0.9],0.71043452749617,0.626928471248247,0.604270816090051,0.50621404086317,0.61196196392441,0.555242428476611,0.083506056247923,2,22,FALSE
StepCox[forward] + Enet[α=0.6],0.710662711477654,0.626928471248247,0.604403244495944,0.505156974373688,0.611787850398883,0.554780109434816,0.083734240229407,2,22,FALSE
StepCox[forward] + Enet[α=0.1],0.710369332072889,0.630668536699392,0.606853170004966,0.498935383035593,0.61170660545321,0.55289427652028,0.079700795373497,2,22,FALSE
StepCox[forward] + Enet[α=0.4],0.710793102324217,0.626928471248247,0.604999172322463,0.503948898385708,0.611667411070159,0.554474035354086,0.08386463107597,2,22,FALSE
StepCox[forward] + Enet[α=0.7],0.710564918342732,0.62599345488546,0.604337030292998,0.505504296220232,0.611599924935356,0.554920663256615,0.0845714634572721,2,22,FALSE
StepCox[forward] + plsRcox,0.700003259771164,0.639083683964469,0.611719913921536,0.495507467419701,0.611578581269218,0.553613690670618,0.0609195758066949,2,22,FALSE
StepCox[forward] + Enet[α=0.8],0.710630113766014,0.625525946704067,0.604370137394471,0.50567040666858,0.611549151133283,0.555020272031525,0.085104167061947,2,22,FALSE
StepCox[forward] + Enet[α=0.5],0.710401929784529,0.62599345488546,0.604999172322463,0.504160311683605,0.611388717169014,0.554579742003034,0.084408474899069,2,22,FALSE
StepCox[backward] + StepCox[both],0.696156729797568,0.648433847592333,0.594338685648071,0.504507633530149,0.61085922414203,0.54942315958911,0.047722882205235,2,18,FALSE
StepCox[forward] + Enet[α=0.2],0.710630113766014,0.628330995792426,0.606323456381394,0.498014225094758,0.610824697758648,0.552168840738076,0.082299117973588,2,22,FALSE
StepCox[forward] + StepCox[both],0.704436548554292,0.622253389434315,0.601390498261877,0.514746077528277,0.61070662844469,0.558068287895077,0.0821831591199771,2,19,FALSE
StepCox[forward] + Enet[α=0.3],0.710988688594061,0.628330995792426,0.605628207250455,0.496972259555126,0.610480037798017,0.551300233402791,0.0826576928016349,2,22,FALSE
StepCox[forward],0.710238941226326,0.617578307620383,0.602118854494289,0.509490946980565,0.609856762580391,0.555804900737427,0.092660633605943,1,22,FALSE
StepCox[forward] + StepCox[backward],0.710238941226326,0.617578307620383,0.602118854494289,0.509490946980565,0.609856762580391,0.555804900737427,0.092660633605943,2,22,FALSE
