Cancer,DrugKey,Spearman_N,Spearman_Rho,Spearman_P,Spearman_FDR,DrugName,DrugID,PutativeTarget,PathwayName,N_CellLines_GDSC2,Median_LN_IC50,IsPriorityDrug
STAD,Drug_2169__AZD6482,375,0.226193651154853,9.73154709239962e-06,3.20568610102576e-05,AZD6482,2169,PI3Kbeta,PI3K/MTOR signaling,266,3.3943365,TRUE
STAD,Drug_2170__AT13148,375,-0.232303333712595,5.47130172457028e-06,1.9149556035996e-05,AT13148,2170,AKT1,PI3K/MTOR signaling,953,3.438764,TRUE
STAD,Drug_2360__THR_101,375,-0.242886790306064,1.94328010510432e-06,7.77312042041727e-06,THR-101,2360,Mutant RAS,PI3K/MTOR signaling,731,5.193065,TRUE
STAD,Drug_2361__THR_102,375,-0.29066014336102,9.80418192874259e-09,8.02915924041136e-08,THR-102,2361,Mutant RAS,PI3K/MTOR signaling,731,4.99625,TRUE
STAD,Drug_2362__THR_103,375,-0.0570073956081466,0.270829771560013,0.329705808855668,THR-103,2362,Mutant RAS,PI3K/MTOR signaling,731,4.493783,TRUE
TGCT,Drug_1005__CISPLATIN,150,-0.140712031645851,0.0858873740629981,0.155151385404126,Cisplatin,1005,DNA crosslinker,DNA replication,760,3.1021655,TRUE
TGCT,Drug_1007__DOCETAXEL,150,-0.0773527712342771,0.346776865513247,0.422163140624823,Docetaxel,1007,Microtubule stabiliser,Mitosis,966,-4.50888,TRUE
TGCT,Drug_1010__GEFITINIB,150,-0.110712476110049,0.177416499350781,0.269902608232605,Gefitinib,1010,EGFR,EGFR signaling,957,3.258682,TRUE
TGCT,Drug_1014__REFAMETINIB,150,0.281560958264812,0.000482217730525181,0.00270041929094101,Refametinib,1014,"MEK1, MEK2",ERK MAPK signaling,946,2.5389975,TRUE
TGCT,Drug_1016__TEMSIROLIMUS,150,0.160816036268279,0.0493073179054845,0.110058438480207,Temsirolimus,1016,MTOR,PI3K/MTOR signaling,921,1.134302,TRUE
TGCT,Drug_1017__OLAPARIB,150,-0.188596826525623,0.0208169198325239,0.0613551321379652,Olaparib,1017,"PARP1, PARP2",Genome integrity,966,4.3531465,TRUE
TGCT,Drug_1018__VELIPARIB,150,-0.0825618916396284,0.315171579122086,0.401127464337201,Veliparib,1018,"PARP1, PARP2",Genome integrity,948,5.28497,TRUE
TGCT,Drug_1022__AZD7762,150,-0.127808347037646,0.119083814240392,0.202081624165513,AZD7762,1022,"CHEK1, CHEK2",Cell cycle,960,0.0970545,TRUE
TGCT,Drug_1032__AFATINIB,150,-0.00685719365305125,0.93362767319205,0.950602721795541,Afatinib,1032,"EGFR, ERBB2",EGFR signaling,965,1.646094,TRUE
TGCT,Drug_1046__WEE1_INHIBITOR,150,-0.357155429130184,7.23926866028366e-06,0.000135133014991962,Wee1 Inhibitor,1046,"WEE1, CHEK1",Cell cycle,956,1.8240615,TRUE
TGCT,Drug_1053__MK_2206,150,-0.0802328992399662,0.329063209313863,0.409500882701697,MK-2206,1053,"AKT1, AKT2",PI3K/MTOR signaling,967,2.75657,TRUE
TGCT,Drug_1057__DACTOLISIB,150,-0.0635637139428419,0.439662795499252,0.523853543573577,Dactolisib,1057,"PI3K (class 1), MTORC1, MTORC2",PI3K/MTOR signaling,957,-1.67946,TRUE
TGCT,Drug_1058__PICTILISIB,150,0.260792035201565,0.00126730102069775,0.00473125714393825,Pictilisib,1058,PI3K (class 1),PI3K/MTOR signaling,966,1.141478,TRUE
TGCT,Drug_1059__AZD8055,150,-0.0225805591359616,0.783872747607098,0.812905071592546,AZD8055,1059,"MTORC1, MTORC2",PI3K/MTOR signaling,745,-0.155106,TRUE
TGCT,Drug_1060__PD0325901,150,0.290020000888928,0.000318241369881939,0.00198016852370984,PD0325901,1060,"MEK1, MEK2",ERK MAPK signaling,967,1.67305,TRUE
TGCT,Drug_1062__SELUMETINIB,150,0.340059558202587,2.06623397047251e-05,0.000289272755866151,Selumetinib,1062,"MEK1, MEK2",ERK MAPK signaling,948,3.578666,TRUE
TGCT,Drug_1080__PACLITAXEL,150,-0.175344681985866,0.0318557131169497,0.0810872697522356,Paclitaxel,1080,Microtubule stabiliser,Mitosis,957,-3.321115,TRUE
TGCT,Drug_1084__RAPAMYCIN,150,0.104795768700831,0.201863220749993,0.289854881076913,Rapamycin,1084,MTORC1,PI3K/MTOR signaling,949,-1.958811,TRUE
TGCT,Drug_1089__OXALIPLATIN,150,-0.0489426196719854,0.552000980398501,0.630858263312573,Oxaliplatin,1089,DNA alkylating agent,DNA replication,966,3.84296,TRUE
TGCT,Drug_1129__PF_4708671,150,-0.11065914040624,0.177626657330174,0.269902608232605,PF-4708671,1129,S6K1,PI3K/MTOR signaling,267,3.599153,TRUE
TGCT,Drug_1168__ERLOTINIB,150,-0.15699719987555,0.0550292192401034,0.110058438480207,Erlotinib,1168,EGFR,EGFR signaling,954,2.8669695,TRUE
TGCT,Drug_1175__RUCAPARIB,150,-0.138045246455398,0.0920592194641154,0.161103634062202,Rucaparib,1175,"PARP1, PARP2",Genome integrity,947,4.01274,TRUE
TGCT,Drug_1177__NIRAPARIB,150,-0.169950664473977,0.037598962736294,0.0915453005753244,Niraparib,1177,"PARP1, PARP2",Genome integrity,893,4.38618,TRUE
TGCT,Drug_1179__MK_1775,150,-0.329331970309792,3.86959184888584e-05,0.000349600825020098,MK-1775,1179,"WEE1, PLK1",Cell cycle,966,0.445436,TRUE
