Cancer,DrugKey,Comparison,Test,N_Low,N_High,Median_Low,Median_High,Effect,P,FDR,Sensitive_Group,Drug_Value_Label,DrugName,DrugID,PutativeTarget,PathwayName,N_CellLines_GDSC2,Median_LN_IC50,IsPriorityDrug
CHOL,Drug_1736__SELUMETINIB,MO-DDRscore High vs Low,Wilcoxon rank-sum,17,18,5.58818108628565,5.03339657498469,-0.55478451130096,0.0060270995629123,0.168758787761544,High,log2_predicted_IC50,Selumetinib,1736,"MEK1, MEK2",ERK MAPK signaling,717,4.214499,TRUE
CHOL,Drug_1778__GSK2110183B,MO-DDRscore High vs Low,Wilcoxon rank-sum,17,18,6.22682934912454,5.92324851993459,-0.303580829189952,0.659844088936063,0.966725019994078,High,log2_predicted_IC50,GSK2110183B,1778,"AKT1, AKT2, AKT3",PI3K/MTOR signaling,717,3.505438,TRUE
CHOL,Drug_1806__OXALIPLATIN,MO-DDRscore High vs Low,Wilcoxon rank-sum,17,18,8.2359011192664,8.16075035048908,-0.0751507687773252,0.781796983236162,0.972902912471668,High,log2_predicted_IC50,Oxaliplatin,1806,DNA alkylating agent,DNA replication,717,5.185118,TRUE
CHOL,Drug_1819__DOCETAXEL,MO-DDRscore High vs Low,Wilcoxon rank-sum,17,18,-0.991704702556202,-0.18941157109921,0.802293131456993,0.152810851426094,0.917992279520064,Low,log2_predicted_IC50,Docetaxel,1819,Microtubule stabiliser,Mitosis,670,-2.538492,TRUE
CHOL,Drug_1873__BUPARLISIB,MO-DDRscore High vs Low,Wilcoxon rank-sum,17,18,1.88356648385485,1.75990796171524,-0.123658522139612,0.334625758361972,0.917992279520064,High,log2_predicted_IC50,Buparlisib,1873,"PI3Kalpha, PI3Kdelta, PI3Kbeta, PI3Kgamma",PI3K/MTOR signaling,957,0.993008,TRUE
CHOL,Drug_1912__AFURESERTIB,MO-DDRscore High vs Low,Wilcoxon rank-sum,17,18,4.37728520069246,4.41694603588413,0.0396608351916701,0.70778081820995,0.966725019994078,Low,log2_predicted_IC50,Afuresertib,1912,"AKT1, AKT2, AKT3",PI3K/MTOR signaling,956,2.4131465,TRUE
CHOL,Drug_1916__AZD5363,MO-DDRscore High vs Low,Wilcoxon rank-sum,17,18,5.35543515395223,5.34330258965717,-0.0121325642950607,0.987005105257219,1,High,log2_predicted_IC50,AZD5363,1916,"AKT1, AKT2, AKT3, ROCK2","Other, kinases",957,2.858666,TRUE
CHOL,Drug_1917__AZD6738,MO-DDRscore High vs Low,Wilcoxon rank-sum,17,18,3.65932887376312,3.42239446451574,-0.236934409247382,0.636362120573563,0.966725019994078,High,log2_predicted_IC50,AZD6738,1917,ATR,Genome integrity,957,1.970669,TRUE
CHOL,Drug_1918__AZD8186,MO-DDRscore High vs Low,Wilcoxon rank-sum,17,18,5.18042894747263,4.96642067668709,-0.214008270785542,0.218846090812552,0.917992279520064,High,log2_predicted_IC50,AZD8186,1918,"PI3Kalpha, PI3Kbeta",PI3K/MTOR signaling,957,3.162977,TRUE
CHOL,Drug_1919__OSIMERTINIB,MO-DDRscore High vs Low,Wilcoxon rank-sum,17,18,2.61281635340176,2.81477598379148,0.201959630389729,0.318363910673596,0.917992279520064,Low,log2_predicted_IC50,Osimertinib,1919,EGFR,EGFR signaling,956,1.722364,TRUE
